time_sim,sim_dx,sim_dy,sim_dz,sim_vx,sim_vy,sim_vz,sim_phi,sim_theta,sim_psi,sim_p,sim_q,sim_r,sim_Mx_ext,sim_My_ext,sim_Mz_ext,sim_omega1,sim_omega2,sim_omega3,sim_omega4,time_ref,ref_dx,ref_dy,ref_dz,ref_vx,ref_vy,ref_vz,ref_phi,ref_theta,ref_psi,ref_p,ref_q,ref_r,ref_Mx_ext,ref_My_ext,ref_Mz_ext,ref_omega1,ref_omega2,ref_omega3,ref_omega4
0.000000000000000000e+00,-2.192483461234432163e+00,-1.863253590163191697e+00,-1.924520149421127480e+00,-5.265956154521302945e-01,-4.962413253942305480e-01,-2.526234744684517919e-01,-5.368477779140781170e-01,5.654953026880021882e-01,3.009412263501619389e+00,-4.905899955949255542e-04,-2.497063209617638169e-01,-8.224243101186472504e-01,-2.584718532831941848e-02,-1.033819953489917634e-02,-1.966480388550254088e-03,6.757146396293505859e+03,8.185984687364780257e+03,8.230865839355677963e+03,9.855033370079021552e+03,0.000000000000000000e+00,-2.192483461234432163e+00,-1.863253590163191697e+00,-1.924520149421127480e+00,-5.265956154521302945e-01,-4.962413253942305480e-01,-2.526234744684517919e-01,-5.368477779140781170e-01,5.654953026880021882e-01,3.009412263501619389e+00,-4.905899955949255542e-04,-2.497063209617638169e-01,-8.224243101186472504e-01,-2.584718532831941848e-02,-1.033819953489917634e-02,-1.966480388550254088e-03,6.757146396293505859e+03,8.185984687364780257e+03,8.230865839355677963e+03,9.855033370079021552e+03
8.459840591474367469e-03,-2.182689877567298709e+00,-1.873770378606741671e+00,-1.913633217698128774e+00,-5.666752941415547085e-01,-5.346668999936151634e-01,-2.889937018985339057e-01,-5.397502554220682258e-01,5.581478514273414682e-01,3.004738759418155603e+00,-9.441272906983420865e-02,-7.448683053415082744e-01,-8.698057775259815383e-01,-2.584718532831941848e-02,-1.033819953489917634e-02,-1.966480388550254088e-03,6.955261359944198375e+03,8.121668769768571110e+03,7.965623075338671697e+03,9.490147026730117432e+03,8.459840591474369204e-03,-2.182078748321675477e+00,-1.874531262244059526e+00,-1.913581828710389399e+00,-5.665056313171106250e-01,-5.348336663434882787e-01,-2.911833897673981597e-01,-5.398435632540212747e-01,5.580362245161796242e-01,3.004426333352260947e+00,-7.106954033273588101e-02,-7.332132309128304160e-01,-9.366056867262212426e-01,-2.584718532831941848e-02,-1.033819953489917634e-02,-1.966480388550254088e-03,7.183652006214184439e+03,8.065955299754010412e+03,7.975252368808600295e+03,9.458165042251574050e+03
1.691968118294873494e-02,-2.179133793000631591e+00,-1.883096340037729410e+00,-1.895622104050839862e+00,-6.068907364429916296e-01,-5.735807616788475283e-01,-3.197886727492919023e-01,-5.422484724319701632e-01,5.474244294844666792e-01,3.002142499091482897e+00,-1.693099723255668820e-01,-1.145006509711069986e+00,-8.830252561411421341e-01,-2.584718532831941848e-02,-1.033819953489917634e-02,-1.966480388550254088e-03,7.102790965352227431e+03,8.088372607586742561e+03,7.696894421358500949e+03,9.225275728551136126e+03,1.691968118294873841e-02,-2.176292951045800894e+00,-1.886698046708728871e+00,-1.895265566182438910e+00,-6.061017562772383904e-01,-5.744233619114650358e-01,-3.248882745137293693e-01,-5.425050852840443971e-01,5.470105314416922049e-01,3.000737776265684165e+00,-9.176506240240484003e-02,-1.098959676788941353e+00,-1.040533058589540705e+00,-2.584718532831941848e-02,-1.033819953489917634e-02,-1.966480388550254088e-03,7.553981780096374678e+03,7.988428815096926883e+03,7.792497675437833095e+03,9.119429073016281109e+03
2.537952177442310414e-02,-2.180334519789324244e+00,-1.891547547873408730e+00,-1.871781447060908210e+00,-6.469781540326621228e-01,-6.130330707710163196e-01,-3.456777943410471177e-01,-5.443698937502081669e-01,5.340140368779896507e-01,3.001226252585508014e+00,-2.146458612589011994e-01,-1.458097943977989530e+00,-9.141972099245021521e-01,-2.584718532831941848e-02,-1.033819953489917634e-02,-1.966480388550254088e-03,7.310987366107495291e+03,8.054108407650552181e+03,7.445036416776232727e+03,8.961144759298516874e+03,2.537952177442310761e-02,-2.173289935492443981e+00,-1.900343931616920834e+00,-1.870969196547112023e+00,-6.450206100313119473e-01,-6.151817065001488061e-01,-3.535509461775101503e-01,-5.447121002948611679e-01,5.332690424701475029e-01,2.997863032856123766e+00,-7.515254321719229413e-02,-1.365517043527223695e+00,-1.138211078780413388e+00,-2.584718532831941848e-02,-1.033819953489917634e-02,-1.966480388550254088e-03,7.875686247908498444e+03,7.933325192882191914e+03,7.658797680522772680e+03,8.818641482216808072e+03
3.383936236589746988e-02,-2.184581672908658234e+00,-1.899874707497257953e+00,-1.843181033787530065e+00,-6.865339572608483154e-01,-6.531963836903608156e-01,-3.670825713448506167e-01,-5.461467130819526172e-01,5.185022412075348530e-01,3.001452152472986246e+00,-2.265715005590260289e-01,-1.688298164634372434e+00,-9.475550912598501574e-01,-2.584718532831941848e-02,-1.033819953489917634e-02,-1.966480388550254088e-03,7.496675201646587993e+03,8.009522123600297164e+03,7.217723553782296221e+03,8.711984488294174298e+03,3.383936236589747681e-02,-2.171507177279496936e+00,-1.915899211687383641e+00,-1.841862279338011277e+00,-6.828462865374101964e-01,-6.572547884659679651e-01,-3.786961575211731379e-01,-5.464206491365423135e-01,5.174839026976083556e-01,2.995373825735355044e+00,-2.865515136226052043e-02,-1.545877668053603937e+00,-1.233059718034684282e+00,-2.584718532831941848e-02,-1.033819953489917634e-02,-1.966480388550254088e-03,8.155018430300920954e+03,7.884015016503642073e+03,7.554438880839958074e+03,8.539086775206440507e+03
4.229920295737183561e-02,-2.190423866980368395e+00,-1.908656069110142850e+00,-1.810761394627825593e+00,-7.251674356196150528e-01,-6.942121937981730051e-01,-3.842848331796853145e-01,-5.475562334026456979e-01,5.014491131398286505e-01,3.002380989928103094e+00,-2.094116881664330188e-01,-1.842491875156587300e+00,-9.844688818614265591e-01,-2.584718532831941848e-02,-1.033819953489917634e-02,-1.966480388550254088e-03,7.671891999872378619e+03,7.973060495813319903e+03,7.008608078565828691e+03,8.457784940141309562e+03,4.229920295737184255e-02,-2.169519544442124026e+00,-1.933719903069472723e+00,-1.809027437977924535e+00,-7.191692426586484554e-01,-7.007774490643903231e-01,-4.003759380844240656e-01,-5.475967902854943503e-01,5.002651304836643886e-01,2.992874492699330702e+00,4.179364336985884332e-02,-1.651758841347337636e+00,-1.324421049442946474e+00,-2.584718532831941848e-02,-1.033819953489917634e-02,-1.966480388550254088e-03,8.397673537766011577e+03,7.841900778620661185e+03,7.477927361897023729e+03,8.284359594557266973e+03
5.075904354884620828e-02,-2.196571643489693137e+00,-1.918329847131499344e+00,-1.775452265327784884e+00,-7.624922365970222549e-01,-7.361933717071390548e-01,-3.976493996218025684e-01,-5.485828416082733083e-01,4.833765393552495460e-01,3.003618702984510058e+00,-1.677054852337639401e-01,-1.928004519151057305e+00,-1.021010010550641889e+00,-2.584718532831941848e-02,-1.033819953489917634e-02,-1.966480388550254088e-03,7.821761572526313103e+03,7.931330228390011143e+03,6.826846033268803694e+03,8.225102700574696428e+03,5.075904354884621522e-02,-2.166221886983877187e+00,-1.953984180761687783e+00,-1.773378303409913093e+00,-7.536114872657821984e-01,-7.458299436146654804e-01,-4.193346304849613349e-01,-5.482058204787084721e-01,4.821155422464911688e-01,2.990056259029962415e+00,1.314345357637514422e-01,-1.694126854996330644e+00,-1.411675354572226704e+00,-2.584718532831941848e-02,-1.033819953489917634e-02,-1.966480388550254088e-03,8.608368096028958462e+03,7.808143962729460327e+03,7.428025928616573765e+03,8.057436867183778304e+03
5.921888414032057402e-02,-2.202000793416130975e+00,-1.929184689538230080e+00,-1.738075496967775857e+00,-7.981711205592075808e-01,-7.792087934511022773e-01,-4.076439123261508812e-01,-5.491935712917273005e-01,4.647400794767065912e-01,3.004852005683430249e+00,-1.075112287384360210e-01,-1.957776230681130158e+00,-1.055861900143049592e+00,-2.584718532831941848e-02,-1.033819953489917634e-02,-1.966480388550254088e-03,7.936441809302383263e+03,7.894575694631789702e+03,6.694866448855076669e+03,8.021567529482006648e+03,5.921888414032058789e-02,-2.160667154488233876e+00,-1.976790645572580107e+00,-1.735742155283599653e+00,-7.858269873183165721e-01,-7.924657517210395019e-01,-4.357144328721812565e-01,-5.482090881644861025e-01,4.634882726340504577e-01,2.986652905049208773e+00,2.355938037006880259e-01,-1.683612335767749268e+00,-1.493976422440775664e+00,-2.584718532831941848e-02,-1.033819953489917634e-02,-1.966480388550254088e-03,8.784541909246630894e+03,7.779719215514116513e+03,7.399332900806195539e+03,7.855220944280057665e+03
6.767872473179493975e-02,-2.206018279184482456e+00,-1.941275688631366458e+00,-1.699352800201909819e+00,-8.319543469672459057e-01,-8.232525057546368208e-01,-4.148156039377930981e-01,-5.493689442202996931e-01,4.459115079993763997e-01,3.005873112710444772e+00,-4.004529900608312654e-02,-1.946005037059293841e+00,-1.082748915816666768e+00,-2.584718532831941848e-02,-1.033819953489917634e-02,-1.966480388550254088e-03,8.006753251244634157e+03,7.876085718572475344e+03,6.611341213090685414e+03,7.852757121760344489e+03,6.767872473179495363e-02,-2.152211509255307131e+00,-2.002077607821749261e+00,-1.696787509137295480e+00,-8.155385370859832284e-01,-8.406736602679574233e-01,-4.500437914360417846e-01,-5.475716283514214799e-01,4.447421353196583382e-01,2.982480402266073582e+00,3.489942404321272340e-01,-1.630397606925219733e+00,-1.570559818136687769e+00,-2.584718532831941848e-02,-1.033819953489917634e-02,-1.966480388550254088e-03,8.924074734722209541e+03,7.754121070940540449e+03,7.387374841692806513e+03,7.675146487900929060e+03
7.613856532326930548e-02,-2.208253338206765282e+00,-1.954397706042327876e+00,-1.659943202780410854e+00,-8.636955891324377133e-01,-8.682322290841175683e-01,-4.196993115363811810e-01,-5.491358597574972356e-01,4.271770942936968796e-01,3.006577631263192441e+00,2.302507547227321261e-02,-1.906872407963824401e+00,-1.100459195325000028e+00,-2.584718532831941848e-02,-1.033819953489917634e-02,-1.966480388550254088e-03,8.032094332813440815e+03,7.869384863093540844e+03,6.570854078461185964e+03,7.722621740982131996e+03,7.613856532326931936e-02,-2.140348236231309542e+00,-2.029711561542919096e+00,-1.657108928498669087e+00,-8.425107525260950858e-01,-8.904133825046648409e-01,-4.625083904418026970e-01,-5.462676416759904008e-01,4.261893729814882903e-01,2.977391049348305785e+00,4.664093121302169687e-01,-1.544228744759385652e+00,-1.641625977283423188e+00,-2.584718532831941848e-02,-1.033819953489917634e-02,-1.966480388550254088e-03,9.030740295117078858e+03,7.730474151126586548e+03,7.389253807873315054e+03,7.515800220463499500e+03
