model,mode,frequency_hz,dt_s,requested_time_s,completed_time_s,completed_steps,gates_passed,finite,tau_s,dist_error_m,noise,dynamics_model,normalization_limits,rpm_min,rpm_max
conv_cfc_default_n64_bebop2_baseline_correct_dataset,hidden_recurrent,50,0.02,20.0,20.0,1000,0,True,0.06,0.001,off,quadrotor_sim_matlab,bebop2_tau_0_06,5000.0,10000.0
conv_cfc_default_n64_bebop2_baseline_correct_dataset,hidden_recurrent,100,0.01,20.0,20.0,2000,0,True,0.06,0.001,off,quadrotor_sim_matlab,bebop2_tau_0_06,5000.0,10000.0
conv_cfc_default_n64_bebop2_baseline_correct_dataset,hidden_recurrent,200,0.005,20.0,20.0,4000,0,True,0.06,0.001,off,quadrotor_sim_matlab,bebop2_tau_0_06,5071.4545045048,10000.0
conv_cfc_default_n64_bebop2_baseline_correct_dataset,rpm_reset_each_timestep,50,0.02,20.0,20.0,1000,0,True,0.06,0.001,off,quadrotor_sim_matlab,bebop2_tau_0_06,5045.973593369126,10000.0
conv_cfc_default_n64_bebop2_baseline_correct_dataset,rpm_reset_each_timestep,100,0.01,20.0,20.0,2000,0,True,0.06,0.001,off,quadrotor_sim_matlab,bebop2_tau_0_06,5063.03102709353,10000.0
conv_cfc_default_n64_bebop2_baseline_correct_dataset,rpm_reset_each_timestep,200,0.005,20.0,20.0,4000,0,True,0.06,0.001,off,quadrotor_sim_matlab,bebop2_tau_0_06,5071.4545045048,10000.0
conv_cfc_default_n64_bebop2_baseline_correct_dataset_no_dt,hidden_recurrent,50,0.02,20.0,20.0,1000,0,True,0.06,0.001,off,quadrotor_sim_matlab,bebop2_tau_0_06,5000.0,10000.0
conv_cfc_default_n64_bebop2_baseline_correct_dataset_no_dt,hidden_recurrent,100,0.01,20.0,20.0,2000,0,True,0.06,0.001,off,quadrotor_sim_matlab,bebop2_tau_0_06,5000.0,10000.0
conv_cfc_default_n64_bebop2_baseline_correct_dataset_no_dt,hidden_recurrent,200,0.005,20.0,20.0,4000,0,True,0.06,0.001,off,quadrotor_sim_matlab,bebop2_tau_0_06,5000.0,10000.0
conv_cfc_default_n64_bebop2_baseline_correct_dataset_no_dt,rpm_reset_each_timestep,50,0.02,20.0,20.0,1000,0,True,0.06,0.001,off,quadrotor_sim_matlab,bebop2_tau_0_06,5000.0,10000.0
conv_cfc_default_n64_bebop2_baseline_correct_dataset_no_dt,rpm_reset_each_timestep,100,0.01,20.0,20.0,2000,0,True,0.06,0.001,off,quadrotor_sim_matlab,bebop2_tau_0_06,5000.0,10000.0
conv_cfc_default_n64_bebop2_baseline_correct_dataset_no_dt,rpm_reset_each_timestep,200,0.005,20.0,20.0,4000,0,True,0.06,0.001,off,quadrotor_sim_matlab,bebop2_tau_0_06,5000.0,10000.0
bebop1/new_CFC_64_neurons_seq_1_epoch=18_val_loss=0.000142,hidden_recurrent,50,0.02,20.0,20.0,1000,0,True,0.06,0.001,off,quadrotor_sim_original,bebop1,5460.953302681446,10000.0
bebop1/new_CFC_64_neurons_seq_1_epoch=18_val_loss=0.000142,hidden_recurrent,100,0.01,20.0,20.0,2000,0,True,0.06,0.001,off,quadrotor_sim_original,bebop1,5460.953302681446,10000.0
bebop1/new_CFC_64_neurons_seq_1_epoch=18_val_loss=0.000142,hidden_recurrent,200,0.005,20.0,20.0,4000,0,True,0.06,0.001,off,quadrotor_sim_original,bebop1,5375.85761398077,10000.0
bebop1/new_CFC_64_neurons_seq_1_epoch=18_val_loss=0.000142,rpm_reset_each_timestep,50,0.02,20.0,20.0,1000,0,True,0.06,0.001,off,quadrotor_sim_original,bebop1,5460.953302681446,10000.0
bebop1/new_CFC_64_neurons_seq_1_epoch=18_val_loss=0.000142,rpm_reset_each_timestep,100,0.01,20.0,20.0,2000,0,True,0.06,0.001,off,quadrotor_sim_original,bebop1,5460.953302681446,10000.0
bebop1/new_CFC_64_neurons_seq_1_epoch=18_val_loss=0.000142,rpm_reset_each_timestep,200,0.005,20.0,20.0,4000,0,True,0.06,0.001,off,quadrotor_sim_original,bebop1,5460.953302681446,10000.0
