episode,step,time_s,u1_rpm,u2_rpm,u3_rpm,u4_rpm,du1_rpm,du2_rpm,du3_rpm,du4_rpm
1,0,0.0,8650.079071521759,10000.0,10000.0,9223.200976848602,0.0,0.0,0.0,0.0
1,1,0.01,7750.593721866608,10000.0,10000.0,10000.0,-899.4853496551514,0.0,0.0,776.7990231513977
1,2,0.02,8418.744206428528,7796.844244003296,10000.0,10000.0,668.1504845619202,-2203.155755996704,0.0,0.0
1,3,0.03,9792.126715183258,7159.071117639542,10000.0,10000.0,1373.3825087547302,-637.7731263637543,0.0,0.0
1,4,0.04,10000.0,7583.957612514496,10000.0,10000.0,207.87328481674194,424.8864948749542,0.0,0.0
1,5,0.05,9374.239146709442,8181.911110877991,10000.0,10000.0,-625.7608532905579,597.9534983634949,0.0,0.0
1,6,0.06,8858.844339847565,8565.613627433777,10000.0,10000.0,-515.3948068618774,383.70251655578613,0.0,0.0
1,7,0.07,9009.779393672943,8832.738399505615,10000.0,10000.0,150.93505382537842,267.1247720718384,0.0,0.0
1,8,0.08,9539.17533159256,9042.53751039505,10000.0,10000.0,529.3959379196167,209.79911088943481,0.0,0.0
1,9,0.09,9972.053170204163,9212.620854377747,10000.0,10000.0,432.8778386116028,170.08334398269653,0.0,0.0
1,10,0.1,10000.0,9385.579824447632,10000.0,10000.0,27.946829795837402,172.95897006988525,0.0,0.0
1,11,0.11,9974.347949028015,9584.38515663147,10000.0,10000.0,-25.652050971984863,198.8053321838379,0.0,0.0
1,12,0.12,9772.273600101471,9796.416163444519,10000.0,10000.0,-202.0743489265442,212.03100681304932,0.0,0.0
1,13,0.13,9645.735919475555,9989.121854305267,10000.0,10000.0,-126.53768062591553,192.7056908607483,0.0,0.0
1,14,0.14,9642.156660556793,10000.0,10000.0,9882.485568523407,-3.579258918762207,10.878145694732666,0.0,-117.51443147659302
1,15,0.15,9703.527987003326,10000.0,10000.0,9737.799763679504,61.3713264465332,0.0,0.0,-144.6858048439026
1,16,0.16,9747.36362695694,10000.0,10000.0,9634.370803833008,43.83563995361328,0.0,0.0,-103.42895984649658
1,17,0.17,9738.125801086426,10000.0,10000.0,9568.053483963013,-9.237825870513916,0.0,0.0,-66.31731986999512
1,18,0.18,9690.787196159363,10000.0,10000.0,9526.427388191223,-47.33860492706299,0.0,0.0,-41.62609577178955
1,19,0.19,9638.30441236496,10000.0,10000.0,9500.374495983124,-52.482783794403076,0.0,0.0,-26.052892208099365
1,20,0.2,9601.819813251495,10000.0,10000.0,9487.553238868713,-36.484599113464355,0.0,0.0,-12.8212571144104
1,21,0.21,9581.083953380585,10000.0,10000.0,9488.484859466553,-20.735859870910645,0.0,0.0,0.9316205978393555
1,22,0.22,9563.141465187073,9966.62437915802,10000.0,9502.544701099396,-17.942488193511963,-33.37562084197998,0.0,14.059841632843018
1,23,0.23,9536.575078964233,9869.286715984344,10000.0,9523.021280765533,-26.566386222839355,-97.33766317367554,0.0,20.476579666137695
1,24,0.24,9499.624073505402,9771.009683609009,10000.0,9536.418914794922,-36.95100545883179,-98.2770323753357,0.0,13.397634029388428
1,25,0.25,9459.564983844757,9679.223895072937,9840.706586837769,9535.023272037506,-40.05908966064453,-91.78578853607178,-159.29341316223145,-1.3956427574157715
1,26,0.26,9406.705796718597,9597.216546535492,9573.443233966827,9516.780078411102,-52.85918712615967,-82.00734853744507,-267.26335287094116,-18.24319362640381
1,27,0.27,9318.898916244507,9525.70229768753,9319.154620170593,9481.946229934692,-87.80688047409058,-71.51424884796143,-254.28861379623413,-34.83384847640991
