episode,step,time_s,u1_rpm,u2_rpm,u3_rpm,u4_rpm,du1_rpm,du2_rpm,du3_rpm,du4_rpm
1,0,0.0,5280.709471553564,8516.898453235626,9679.516851902008,7777.082622051239,0.0,0.0,0.0,0.0
1,1,0.02,6274.8172879219055,7877.703011035919,9599.054157733917,8052.840232849121,994.1078163683414,-639.195442199707,-80.46269416809082,275.7576107978821
1,2,0.04,7354.855090379715,8155.708312988281,9057.101607322693,8375.067114830017,1080.0378024578094,278.00530195236206,-541.9525504112244,322.226881980896
1,3,0.06,8105.589747428894,8326.889276504517,8612.709045410156,8714.856505393982,750.7346570491791,171.18096351623535,-444.3925619125366,339.78939056396484
1,4,0.08,8868.910670280457,8351.080119609833,8085.284531116486,8773.547112941742,763.3209228515625,24.190843105316162,-527.4245142936707,58.69060754776001
1,5,0.1,9296.879470348358,8405.378460884094,7834.396660327911,8793.987929821014,427.9688000679016,54.298341274261475,-250.88787078857422,20.44081687927246
1,6,0.12,9519.106447696686,8455.780148506165,7786.4256501197815,8752.003014087677,222.22697734832764,50.40168762207031,-47.97101020812988,-41.9849157333374
1,7,0.14,9527.584612369537,8544.188737869263,7823.006212711334,8731.226027011871,8.478164672851562,88.40858936309814,36.580562591552734,-20.776987075805664
1,8,0.16,9434.641897678375,8628.964722156525,7894.809246063232,8678.51734161377,-92.94271469116211,84.77598428726196,71.8030333518982,-52.70868539810181
1,9,0.18,9263.64541053772,8702.549636363983,8010.059595108032,8611.619770526886,-170.99648714065552,73.5849142074585,115.2503490447998,-66.89757108688354
1,10,0.2,9080.587923526764,8723.821640014648,8167.18190908432,8523.362278938293,-183.0574870109558,21.272003650665283,157.12231397628784,-88.25749158859253
1,11,0.22,8871.40542268753,8714.18833732605,8330.232203006744,8458.544909954071,-209.1825008392334,-9.633302688598633,163.05029392242432,-64.81736898422241
1,12,0.24,8672.832548618317,8688.032329082489,8455.096781253815,8421.76377773285,-198.57287406921387,-26.15600824356079,124.86457824707031,-36.781132221221924
1,13,0.26,8503.400385379791,8628.958761692047,8549.115359783173,8385.819494724274,-169.4321632385254,-59.073567390441895,94.01857852935791,-35.94428300857544
1,14,0.28,8354.374170303345,8545.244634151459,8617.158830165863,8362.661302089691,-149.02621507644653,-83.71412754058838,68.04347038269043,-23.15819263458252
1,15,0.3,8252.005279064178,8462.523818016052,8647.002279758453,8343.598246574402,-102.36889123916626,-82.7208161354065,29.843449592590332,-19.063055515289307
1,16,0.32,8167.095184326172,8387.344181537628,8661.623001098633,8326.580822467804,-84.91009473800659,-75.17963647842407,14.620721340179443,-17.0174241065979
1,17,0.34,8098.3710289001465,8312.55316734314,8663.928210735321,8308.885991573334,-68.72415542602539,-74.79101419448853,2.3052096366882324,-17.694830894470215
1,18,0.36,8038.98423910141,8242.059648036957,8654.564917087555,8283.336758613586,-59.38678979873657,-70.49351930618286,-9.363293647766113,-25.549232959747314
1,19,0.38,7986.202836036682,8174.864053726196,8636.537194252014,8253.675699234009,-52.78140306472778,-67.1955943107605,-18.02772283554077,-29.661059379577637
1,20,0.4,7941.297292709351,8115.008473396301,8614.507019519806,8222.58323431015,-44.90554332733154,-59.85558032989502,-22.030174732208252,-31.092464923858643
1,21,0.42,7903.795540332794,8060.978949069977,8590.402603149414,8187.739253044128,-37.5017523765564,-54.02952432632446,-24.104416370391846,-34.84398126602173
1,22,0.44,7864.468693733215,8017.529249191284,8566.137552261353,8151.8930196762085,-39.32684659957886,-43.44969987869263,-24.265050888061523,-35.84623336791992
1,23,0.46,7824.937403202057,7976.102828979492,8539.539277553558,8114.738762378693,-39.53129053115845,-41.42642021179199,-26.59827470779419,-37.15425729751587
1,24,0.48,7784.8368883132935,7936.820685863495,8510.734140872955,8077.997863292694,-40.10051488876343,-39.282143115997314,-28.805136680603027,-36.740899085998535
1,25,0.5,7741.6205406188965,7896.280586719513,8481.510579586029,8043.623864650726,-43.21634769439697,-40.540099143981934,-29.22356128692627,-34.37399864196777
1,26,0.52,7696.01583480835,7854.621410369873,8453.441560268402,8014.09900188446,-45.604705810546875,-41.65917634963989,-28.069019317626953,-29.52486276626587
1,27,0.54,7649.860382080078,7814.8433566093445,8423.673510551453,7983.067035675049,-46.155452728271484,-39.778053760528564,-29.768049716949463,-31.03196620941162
1,28,0.56,7602.540850639343,7776.19332075119,8393.230736255646,7952.79324054718,-47.31953144073486,-38.6500358581543,-30.442774295806885,-30.273795127868652
1,29,0.58,7553.384900093079,7739.373743534088,8362.94710636139,7923.78842830658,-49.15595054626465,-36.81957721710205,-30.283629894256592,-29.004812240600586
1,30,0.6,7504.371106624603,7703.40234041214,8332.151770591736,7895.081341266632,-49.01379346847534,-35.97140312194824,-30.79533576965332,-28.70708703994751
1,31,0.62,7457.408756017685,7667.739689350128,8303.24113368988,7867.637872695923,-46.962350606918335,-35.66265106201172,-28.91063690185547,-27.44346857070923
1,32,0.64,7411.83340549469,7633.818686008453,8276.253342628479,7840.95823764801,-45.575350522994995,-33.921003341674805,-26.987791061401367,-26.679635047912598
1,33,0.66,7367.392331361771,7602.426707744598,8249.845802783966,7816.108465194702,-44.44107413291931,-31.39197826385498,-26.40753984451294,-24.849772453308105
1,34,0.68,7324.538975954056,7572.341859340668,8223.779201507568,7791.702151298523,-42.853355407714844,-30.084848403930664,-26.066601276397705,-24.4063138961792
1,35,0.7000000000000001,7282.195687294006,7544.257342815399,8197.661936283112,7768.638730049133,-42.34328866004944,-28.084516525268555,-26.117265224456787,-23.06342124938965
1,36,0.72,7241.181433200836,7516.298294067383,8173.166811466217,7745.69034576416,-41.014254093170166,-27.959048748016357,-24.49512481689453,-22.948384284973145
1,37,0.74,7202.142775058746,7489.040046930313,8148.9115953445435,7723.901271820068,-39.038658142089844,-27.258247137069702,-24.255216121673584,-21.789073944091797
