episode,step,time_s,u1_rpm,u2_rpm,u3_rpm,u4_rpm,du1_rpm,du2_rpm,du3_rpm,du4_rpm
1,0,0.0,5078.137302771211,8939.64558839798,10000.0,8224.9516248703,0.0,0.0,0.0,0.0
1,1,0.001,5214.431881904602,8499.610722064972,9948.896765708923,8336.938619613647,136.29457913339138,-440.0348663330078,-51.10323429107666,111.98699474334717
1,2,0.002,5315.226912498474,8481.48763179779,9867.10637807846,8321.234583854675,100.79503059387207,-18.123090267181396,-81.79038763046265,-15.704035758972168
1,3,0.003,5397.724956274033,8281.030654907227,9870.651960372925,8369.781374931335,82.49804377555847,-200.45697689056396,3.5455822944641113,48.546791076660156
1,4,0.004,5449.89638030529,8231.462240219116,9868.144690990448,8415.705561637878,52.17142403125763,-49.56841468811035,-2.5072693824768066,45.92418670654297
1,5,0.005,5543.352514505386,8211.536705493927,9869.995415210724,8435.757160186768,93.45613420009613,-19.92553472518921,1.850724220275879,20.05159854888916
1,6,0.006,5598.68611395359,8196.78395986557,9866.314828395844,8469.972014427185,55.33359944820404,-14.752745628356934,-3.680586814880371,34.21485424041748
1,7,0.007,5686.858221888542,8202.880918979645,9861.521422863007,8482.640981674194,88.17210793495178,6.096959114074707,-4.793405532836914,12.668967247009277
1,8,0.008,5766.561031341553,8206.906914710999,9857.538938522339,8499.074578285217,79.70280945301056,4.02599573135376,-3.9824843406677246,16.43359661102295
1,9,0.009000000000000001,5856.232717633247,8213.496506214142,9853.17349433899,8515.336513519287,89.67168629169464,6.5895915031433105,-4.365444183349609,16.261935234069824
1,10,0.01,5950.039327144623,8221.479058265686,9849.417507648468,8528.858423233032,93.80660951137543,7.9825520515441895,-3.7559866905212402,13.521909713745117
1,11,0.011,6055.679172277451,8230.303823947906,9844.350814819336,8540.71855545044,105.63984513282776,8.824765682220459,-5.06669282913208,11.860132217407227
1,12,0.012,6170.234754681587,8241.65016412735,9838.562905788422,8551.514148712158,114.55558240413666,11.34634017944336,-5.787909030914307,10.79559326171875
1,13,0.013000000000000001,6291.934996843338,8253.74573469162,9831.221997737885,8561.97476387024,121.7002421617508,12.09557056427002,-7.340908050537109,10.460615158081055
1,14,0.014,6414.657384157181,8268.42725276947,9823.695123195648,8570.125699043274,122.72238731384277,14.681518077850342,-7.526874542236328,8.150935173034668
1,15,0.015,6538.85617852211,8284.84058380127,9816.156327724457,8577.445149421692,124.1987943649292,16.413331031799316,-7.538795471191406,7.319450378417969
1,16,0.016,6663.034558296204,8298.855423927307,9805.797338485718,8582.088947296143,124.17837977409363,14.014840126037598,-10.358989238739014,4.643797874450684
1,17,0.017,6785.6355011463165,8313.854336738586,9794.171154499054,8585.249185562134,122.60094285011292,14.998912811279297,-11.626183986663818,3.160238265991211
1,18,0.018000000000000002,6904.808580875397,8328.223526477814,9780.748784542084,8589.754700660706,119.1730797290802,14.369189739227295,-13.422369956970215,4.505515098571777
1,19,0.019,7017.040699720383,8342.072665691376,9765.95014333725,8592.040538787842,112.23211884498596,13.849139213562012,-14.798641204833984,2.2858381271362305
1,20,0.02,7125.971466302872,8354.204595088959,9750.477969646454,8593.564629554749,108.93076658248901,12.131929397583008,-15.472173690795898,1.5240907669067383
1,21,0.021,7225.5416214466095,8368.866741657257,9733.662009239197,8593.832850456238,99.5701551437378,14.66214656829834,-16.81596040725708,0.2682209014892578
1,22,0.022,7321.5052485466,8382.362127304077,9714.883267879486,8594.204187393188,95.96362709999084,13.495385646820068,-18.778741359710693,0.3713369369506836
1,23,0.023,7411.105185747147,8396.373987197876,9696.055054664612,8592.349290847778,89.59993720054626,14.011859893798828,-18.828213214874268,-1.8548965454101562
1,24,0.024,7493.936270475388,8409.382998943329,9675.709307193756,8592.978119850159,82.83108472824097,13.00901174545288,-20.345747470855713,0.6288290023803711
1,25,0.025,7569.085657596588,8421.513438224792,9654.084742069244,8594.237565994263,75.14938712120056,12.130439281463623,-21.62456512451172,1.259446144104004
1,26,0.026000000000000002,7640.250623226166,8433.541357517242,9631.668627262115,8595.293760299683,71.16496562957764,12.027919292449951,-22.416114807128906,1.0561943054199219
1,27,0.027,7703.0399441719055,8443.862199783325,9608.7646484375,8597.633838653564,62.789320945739746,10.320842266082764,-22.90397882461548,2.340078353881836
1,28,0.028,7759.903371334076,8452.106416225433,9585.706293582916,8599.842190742493,56.86342716217041,8.244216442108154,-23.05835485458374,2.2083520889282227
1,29,0.029,7810.0404143333435,8460.392355918884,9562.16186285019,8602.379560470581,50.13704299926758,8.285939693450928,-23.54443073272705,2.537369728088379
1,30,0.03,7853.7508845329285,8467.012643814087,9539.185464382172,8605.140447616577,43.71047019958496,6.620287895202637,-22.976398468017578,2.7608871459960938
1,31,0.031,7893.251180648804,8473.47229719162,9516.707956790924,8608.324527740479,39.500296115875244,6.459653377532959,-22.47750759124756,3.184080123901367
1,32,0.032,7928.810119628906,8480.169475078583,9494.729340076447,8610.451221466064,35.55893898010254,6.697177886962891,-21.97861671447754,2.1266937255859375
1,33,0.033,7961.038649082184,8485.777378082275,9474.022686481476,8614.70341682434,32.22852945327759,5.607903003692627,-20.706653594970703,4.252195358276367
