episode,step,time_s,u1_rpm,u2_rpm,u3_rpm,u4_rpm,du1_rpm,du2_rpm,du3_rpm,du4_rpm
1,0,0.0,5100.963618606329,9098.394513130188,10000.0,8199.352324008942,0.0,0.0,0.0,0.0
1,1,0.001,7286.589294672012,8284.35868024826,9075.395166873932,8009.479641914368,2185.6256760656834,-814.0358328819275,-924.6048331260681,-189.87268209457397
1,2,0.002,8112.1861934661865,8186.262547969818,8575.54167509079,7691.151797771454,825.5968987941742,-98.09613227844238,-499.8534917831421,-318.3278441429138
1,3,0.003,8380.334675312042,8239.302337169647,8184.827268123627,7930.415570735931,268.1484818458557,53.0397891998291,-390.7144069671631,239.26377296447754
1,4,0.004,8673.394620418549,8307.828605175018,8038.692772388458,8041.962087154388,293.05994510650635,68.5262680053711,-146.13449573516846,111.54651641845703
1,5,0.005,8887.789845466614,8311.588168144226,7909.993529319763,8057.002127170563,214.39522504806519,3.7595629692077637,-128.69924306869507,15.040040016174316
1,6,0.006,8995.180428028107,8321.364521980286,7815.296351909637,8095.71772813797,107.39058256149292,9.77635383605957,-94.69717741012573,38.71560096740723
1,7,0.007,9065.194129943848,8340.303301811218,7759.505212306976,8129.892647266388,70.01370191574097,18.938779830932617,-55.79113960266113,34.17491912841797
1,8,0.008,9122.428596019745,8353.841006755829,7720.628976821899,8155.373930931091,57.23446607589722,13.537704944610596,-38.876235485076904,25.48128366470337
1,9,0.009000000000000001,9164.020717144012,8367.54560470581,7692.6568150520325,8176.841735839844,41.59212112426758,13.70459794998169,-27.972161769866943,21.46780490875244
1,10,0.01,9194.64260339737,8380.376696586609,7673.251032829285,8195.338547229767,30.621886253356934,12.83109188079834,-19.405782222747803,18.496811389923096
1,11,0.011,9219.841659069061,8390.32918214798,7659.754753112793,8210.452795028687,25.199055671691895,9.95248556137085,-13.4962797164917,15.114247798919678
1,12,0.012,9240.300059318542,8399.00016784668,7650.265991687775,8222.543001174927,20.4584002494812,8.670985698699951,-9.48876142501831,12.090206146240234
1,13,0.013000000000000001,9257.945716381073,8406.818807125092,7643.164694309235,8232.31041431427,17.645657062530518,7.818639278411865,-7.101297378540039,9.767413139343262
1,14,0.014,9273.656904697418,8413.830697536469,7637.999057769775,8240.111470222473,15.711188316345215,7.011890411376953,-5.1656365394592285,7.801055908203125
1,15,0.015,9286.705553531647,8420.473337173462,7633.766233921051,8246.400356292725,13.048648834228516,6.642639636993408,-4.232823848724365,6.288886070251465
1,16,0.016,9299.116432666779,8426.029980182648,7630.451321601868,8250.69934129715,12.410879135131836,5.556643009185791,-3.3149123191833496,4.298985004425049
1,17,0.017,9310.900866985321,8431.687355041504,7627.8844475746155,8254.16773557663,11.78443431854248,5.657374858856201,-2.5668740272521973,3.4683942794799805
1,18,0.018000000000000002,9322.102963924408,8436.959981918335,7626.009583473206,8257.007896900177,11.202096939086914,5.272626876831055,-1.874864101409912,2.8401613235473633
1,19,0.019,9333.26244354248,8441.76709651947,7624.7090101242065,8259.531855583191,11.15947961807251,4.807114601135254,-1.3005733489990234,2.523958683013916
1,20,0.02,9344.055950641632,8446.141481399536,7623.608410358429,8261.722028255463,10.793507099151611,4.374384880065918,-1.100599765777588,2.1901726722717285
1,21,0.021,9353.180229663849,8450.46192407608,7624.191343784332,8263.570964336395,9.124279022216797,4.3204426765441895,0.5829334259033203,1.8489360809326172
1,22,0.022,9362.817406654358,8455.151617527008,7625.161111354828,8264.760673046112,9.637176990509033,4.689693450927734,0.9697675704956055,1.1897087097167969
1,23,0.023,9372.54250049591,8460.191786289215,7626.2617111206055,8265.645802021027,9.725093841552734,5.040168762207031,1.100599765777588,0.8851289749145508
1,24,0.024,9381.54011964798,8465.333878993988,7627.714276313782,8266.59083366394,8.997619152069092,5.142092704772949,1.4525651931762695,0.9450316429138184
1,25,0.025,9390.958547592163,8471.023738384247,7630.670368671417,8267.366886138916,9.41842794418335,5.689859390258789,2.956092357635498,0.7760524749755859
1,26,0.026000000000000002,9400.757253170013,8477.279543876648,7634.371519088745,8267.13114976883,9.798705577850342,6.255805492401123,3.701150417327881,-0.23573637008666992
1,27,0.027,9409.117996692657,8482.152819633484,7638.691663742065,8267.28492975235,8.360743522644043,4.8732757568359375,4.3201446533203125,0.1537799835205078
1,28,0.028,9416.636526584625,8487.552404403687,7643.320262432098,8269.100487232208,7.518529891967773,5.399584770202637,4.628598690032959,1.8155574798583984
1,29,0.029,9424.021542072296,8491.985201835632,7648.984789848328,8269.815146923065,7.385015487670898,4.432797431945801,5.664527416229248,0.7146596908569336
1,30,0.03,9430.59653043747,8496.09762430191,7655.1976799964905,8269.995152950287,6.57498836517334,4.112422466278076,6.212890148162842,0.1800060272216797
1,31,0.031,9436.76471710205,8500.141203403473,7661.747336387634,8270.330727100372,6.168186664581299,4.0435791015625,6.549656391143799,0.3355741500854492
1,32,0.032,9442.596733570099,8504.026532173157,7668.577432632446,8270.724415779114,5.832016468048096,3.885328769683838,6.830096244812012,0.3936886787414551
1,33,0.033,9448.16917181015,8507.700264453888,7675.590813159943,8271.11154794693,5.5724382400512695,3.673732280731201,7.013380527496338,0.3871321678161621
1,34,0.034,9453.548789024353,8511.400818824768,7682.476043701172,8271.806538105011,5.379617214202881,3.700554370880127,6.885230541229248,0.6949901580810547
1,35,0.035,9458.556473255157,8515.07544517517,7689.868807792664,8272.325694561005,5.007684230804443,3.674626350402832,7.392764091491699,0.5191564559936523
1,36,0.036000000000000004,9462.946951389313,8519.606590270996,7697.360813617706,8273.194432258606,4.390478134155273,4.531145095825195,7.492005825042725,0.8687376976013184
1,37,0.037,9463.292360305786,8522.312939167023,7705.853879451752,8273.304402828217,0.34540891647338867,2.7063488960266113,8.49306583404541,0.1099705696105957
1,38,0.038,9465.327560901642,8524.531424045563,7714.269161224365,8272.784054279327,2.035200595855713,2.218484878540039,8.415281772613525,-0.5203485488891602
1,39,0.039,9467.684626579285,8527.479469776154,7722.434401512146,8272.825181484222,2.3570656776428223,2.9480457305908203,8.165240287780762,0.04112720489501953
1,40,0.04,9469.936192035675,8530.491292476654,7730.668485164642,8272.97419309616,2.251565456390381,3.0118227005004883,8.234083652496338,0.14901161193847656
1,41,0.041,9472.149014472961,8533.370196819305,7738.984823226929,8273.232877254486,2.212822437286377,2.878904342651367,8.316338062286377,0.2586841583251953
1,42,0.042,9474.322497844696,8536.095023155212,7746.959030628204,8273.773789405823,2.173483371734619,2.7248263359069824,7.974207401275635,0.5409121513366699
1,43,0.043000000000000003,9475.802779197693,8538.616597652435,7755.531072616577,8274.247348308563,1.4802813529968262,2.5215744972229004,8.572041988372803,0.4735589027404785
1,44,0.044,9474.913477897644,8541.816771030426,7764.127850532532,8274.607956409454,-0.8893013000488281,3.2001733779907227,8.59677791595459,0.3606081008911133
1,45,0.045,9473.316073417664,8544.23850774765,7774.322032928467,8275.015354156494,-1.5974044799804688,2.421736717224121,10.194182395935059,0.4073977470397949
1,46,0.046,9472.813308238983,8546.654880046844,7784.265577793121,8275.491893291473,-0.5027651786804199,2.416372299194336,9.943544864654541,0.47653913497924805
1,47,0.047,9472.452700138092,8548.993170261383,7793.780863285065,8276.223540306091,-0.3606081008911133,2.338290214538574,9.51528549194336,0.7316470146179199
1,48,0.048,9472.270607948303,8550.319969654083,7803.264558315277,8276.78918838501,-0.18209218978881836,1.3267993927001953,9.483695030212402,0.565648078918457
1,49,0.049,9472.412467002869,8551.822006702423,7812.569439411163,8277.557790279388,0.1418590545654297,1.5020370483398438,9.30488109588623,0.7686018943786621
1,50,0.05,9472.57936000824,8553.421795368195,7821.51073217392,8278.383910655975,0.16689300537109375,1.5997886657714844,8.941292762756348,0.8261203765869141
1,51,0.051000000000000004,9472.532570362091,8554.960787296295,7830.236554145813,8279.281556606293,-0.04678964614868164,1.538991928100586,8.72582197189331,0.8976459503173828
1,52,0.052000000000000005,9472.376704216003,8556.573390960693,7838.7850522994995,8280.267715454102,-0.15586614608764648,1.6126036643981934,8.548498153686523,0.9861588478088379
1,53,0.053,9471.207559108734,8558.498620986938,7847.793102264404,8280.30914068222,-1.169145107269287,1.9252300262451172,9.008049964904785,0.041425228118896484
