episode,step,time_s,u1_rpm,u2_rpm,u3_rpm,u4_rpm,du1_rpm,du2_rpm,du3_rpm,du4_rpm
1,0,0.0,5000.0,9110.210537910461,9739.30299282074,8266.498148441315,0.0,0.0,0.0,0.0
1,1,0.01,5158.7169244885445,8773.552775382996,9915.216565132141,8425.919115543365,158.71692448854446,-336.6577625274658,175.91357231140137,159.42096710205078
1,2,0.02,6095.190048217773,8935.971558094025,10000.0,8449.100255966187,936.473123729229,162.41878271102905,84.78343486785889,23.181140422821045
1,3,0.03,6940.258294343948,8726.620078086853,10000.0,8669.298887252808,845.0682461261749,-209.35148000717163,0.0,220.1986312866211
1,4,0.04,7355.1928997039795,8666.696846485138,9898.208379745483,8687.360882759094,414.9346053600311,-59.92323160171509,-101.7916202545166,18.06199550628662
1,5,0.05,7865.2554750442505,8755.261898040771,9663.24508190155,8752.758800983429,510.062575340271,88.56505155563354,-234.9632978439331,65.39791822433472
1,6,0.06,8264.654576778412,8744.946122169495,9211.59029006958,8832.2052359581,399.3991017341614,-10.315775871276855,-451.6547918319702,79.44643497467041
1,7,0.07,8649.84393119812,8711.665868759155,8787.895739078522,8921.230733394623,385.18935441970825,-33.280253410339355,-423.69455099105835,89.02549743652344
1,8,0.08,9050.771594047546,8721.042275428772,8498.488664627075,8958.276212215424,400.92766284942627,9.3764066696167,-289.40707445144653,37.04547882080078
1,9,0.09,9437.187910079956,8769.516348838806,8309.03947353363,9010.54471731186,386.41631603240967,48.47407341003418,-189.44919109344482,52.26850509643555
1,10,0.1,9698.660671710968,8834.840059280396,8166.688084602356,9075.320065021515,261.47276163101196,65.32371044158936,-142.3513889312744,64.77534770965576
1,11,0.11,9841.78364276886,8881.350755691528,8091.775178909302,9112.48505115509,143.12297105789185,46.51069641113281,-74.9129056930542,37.16498613357544
1,12,0.12,9924.450814723969,8924.325108528137,8065.769672393799,9141.940772533417,82.66717195510864,42.97435283660889,-26.00550651550293,29.455721378326416
1,13,0.13,9956.61973953247,8960.81030368805,8062.874972820282,9147.065579891205,32.1689248085022,36.48519515991211,-2.8946995735168457,5.124807357788086
1,14,0.14,9967.696368694305,8998.615145683289,8080.557882785797,9134.13941860199,11.076629161834717,37.80484199523926,17.682909965515137,-12.926161289215088
1,15,0.15,9971.213638782501,9035.268127918243,8110.115230083466,9112.535119056702,3.517270088195801,36.652982234954834,29.557347297668457,-21.604299545288086
1,16,0.16,9958.568215370178,9052.125811576843,8146.281540393829,9074.247181415558,-12.645423412322998,16.857683658599854,36.16631031036377,-38.2879376411438
1,17,0.17,9918.538928031921,9058.970212936401,8192.686140537262,9029.324054718018,-40.029287338256836,6.8444013595581055,46.40460014343262,-44.92312669754028
1,18,0.18,9856.005311012268,9065.532982349396,8255.990445613861,8993.982076644897,-62.53361701965332,6.562769412994385,63.30430507659912,-35.34197807312012
1,19,0.19,9782.187342643738,9060.800075531006,8334.537744522095,8956.981897354126,-73.81796836853027,-4.732906818389893,78.54729890823364,-37.000179290771484
1,20,0.2,9664.67261314392,9051.085412502289,8426.516950130463,8922.046422958374,-117.5147294998169,-9.714663028717041,91.97920560836792,-34.93547439575195
1,21,0.21,9522.740244865417,9031.97318315506,8522.723317146301,8893.013894557953,-141.93236827850342,-19.112229347229004,96.20636701583862,-29.032528400421143
1,22,0.22,9396.707117557526,9005.64968585968,8621.406853199005,8863.313794136047,-126.03312730789185,-26.32349729537964,98.68353605270386,-29.700100421905518
1,23,0.23,9272.80068397522,8970.242440700531,8709.164559841156,8844.529390335083,-123.90643358230591,-35.40724515914917,87.75770664215088,-18.784403800964355
1,24,0.24,9167.605638504028,8933.94023180008,8786.381483078003,8830.419778823853,-105.1950454711914,-36.30220890045166,77.21692323684692,-14.109611511230469
1,25,0.25,9065.867066383362,8896.031975746155,8854.603171348572,8819.782137870789,-101.7385721206665,-37.90825605392456,68.22168827056885,-10.637640953063965
1,26,0.26,8962.74745464325,8858.08140039444,8913.20675611496,8805.755972862244,-103.1196117401123,-37.95057535171509,58.60358476638794,-14.026165008544922
1,27,0.27,8858.578503131866,8824.182152748108,8971.272110939026,8793.814480304718,-104.16895151138306,-33.89924764633179,58.06535482406616,-11.941492557525635
1,28,0.28,8778.009116649628,8798.361420631409,9018.589556217194,8781.862258911133,-80.56938648223877,-25.82073211669922,47.317445278167725,-11.952221393585205
