episode,step,time_s,u1_rpm,u2_rpm,u3_rpm,u4_rpm,du1_rpm,du2_rpm,du3_rpm,du4_rpm
1,0,0.0,5072.891479358077,8918.603956699371,10000.0,7988.406121730804,0.0,0.0,0.0,0.0
1,1,0.01,5370.148420333862,8767.078518867493,10000.0,8268.902003765106,297.25694097578526,-151.52543783187866,0.0,280.49588203430176
1,2,0.02,6440.528184175491,8612.582981586456,10000.0,8343.003988265991,1070.379763841629,-154.49553728103638,0.0,74.10198450088501
1,3,0.03,7131.188660860062,8610.755801200867,10000.0,8526.05938911438,690.6604766845703,-1.8271803855895996,0.0,183.05540084838867
1,4,0.04,7654.521465301514,8618.151843547821,9873.237907886505,8629.050552845001,523.332804441452,7.396042346954346,-126.76209211349487,102.99116373062134
1,5,0.05,8056.551218032837,8604.549765586853,9521.252810955048,8746.600151062012,402.02975273132324,-13.602077960968018,-351.9850969314575,117.5495982170105
1,6,0.06,8488.357961177826,8600.418269634247,9031.117856502533,8896.567523479462,431.806743144989,-4.131495952606201,-490.13495445251465,149.96737241744995
1,7,0.07,8867.690861225128,8652.073740959167,8635.49917936325,9014.177024364471,379.33290004730225,51.655471324920654,-395.6186771392822,117.60950088500977
1,8,0.08,9162.644445896149,8754.478096961975,8387.99923658371,9109.456837177277,294.9535846710205,102.40435600280762,-247.49994277954102,95.27981281280518
1,9,0.09,9370.033144950867,8796.939849853516,8258.404433727264,9142.504632472992,207.38869905471802,42.46175289154053,-129.5948028564453,33.04779529571533
1,10,0.1,9516.334533691406,8829.655349254608,8135.119676589966,9109.340608119965,146.30138874053955,32.71549940109253,-123.28475713729858,-33.164024353027344
1,11,0.11,9636.541306972504,8907.978534698486,8078.584969043732,9114.755094051361,120.20677328109741,78.32318544387817,-56.53470754623413,5.414485931396484
1,12,0.12,9717.351496219635,8957.491517066956,8096.1474776268005,9110.622704029083,80.81018924713135,49.51298236846924,17.562508583068848,-4.132390022277832
1,13,0.13,9737.381339073181,8976.368606090546,8103.258907794952,9089.736938476562,20.029842853546143,18.877089023590088,7.1114301681518555,-20.885765552520752
1,14,0.14,9721.281826496124,9017.704427242279,8126.040399074554,9050.426483154297,-16.099512577056885,41.3358211517334,22.78149127960205,-39.310455322265625
1,15,0.15,9698.551595211029,9017.771780490875,8138.214647769928,9031.745493412018,-22.730231285095215,0.0673532485961914,12.174248695373535,-18.680989742279053
1,16,0.16,9681.709706783295,9029.1029214859,8207.387626171112,9011.257886886597,-16.841888427734375,11.331140995025635,69.17297840118408,-20.487606525421143
1,17,0.17,9629.55504655838,9025.538861751556,8249.183297157288,8988.133072853088,-52.15466022491455,-3.5640597343444824,41.79567098617554,-23.1248140335083
1,18,0.18,9566.67572259903,9022.386968135834,8304.964303970337,8968.10919046402,-62.879323959350586,-3.1518936157226562,55.781006813049316,-20.023882389068604
