episode,step,time_s,u1_rpm,u2_rpm,u3_rpm,u4_rpm,du1_rpm,du2_rpm,du3_rpm,du4_rpm
1,0,0.0,5170.086417347193,9843.6838388443,9942.859709262848,6787.771582603455,0.0,0.0,0.0,0.0
1,1,0.02,5881.63360953331,9803.955852985382,10000.0,7308.266758918762,711.5471921861172,-39.727985858917236,57.1402907371521,520.4951763153076
1,2,0.04,7179.08039689064,9780.89451789856,10000.0,7793.569266796112,1297.4467873573303,-23.06133508682251,0.0,485.30250787734985
1,3,0.06,8599.857985973358,9006.728827953339,9325.293600559235,9056.243598461151,1420.777589082718,-774.165689945221,-674.7063994407654,1262.674331665039
1,4,0.08,9621.545672416687,8645.13784646988,8584.863245487213,9705.893695354462,1021.6876864433289,-361.5909814834595,-740.4303550720215,649.6500968933105
1,5,0.1,10000.0,8661.914765834808,8327.586054801941,9920.521676540375,378.454327583313,16.7769193649292,-257.2771906852722,214.6279811859131
1,6,0.12,10000.0,8858.322203159332,8317.503035068512,9999.66412782669,0.0,196.40743732452393,-10.083019733428955,79.14245128631592
1,7,0.14,10000.0,9002.441465854645,8403.81771326065,9943.645894527435,0.0,144.1192626953125,86.31467819213867,-56.01823329925537
1,8,0.16,10000.0,9103.889167308807,8536.973595619202,9953.146278858185,0.0,101.4477014541626,133.15588235855103,9.500384330749512
1,9,0.18,9986.505210399628,9175.55034160614,8787.347376346588,9912.46908903122,-13.494789600372314,71.66117429733276,250.37378072738647,-40.67718982696533
1,10,0.2,9889.360964298248,9236.595928668976,8966.398537158966,9781.68398141861,-97.1442461013794,61.04558706283569,179.05116081237793,-130.78510761260986
1,11,0.22,9753.488004207611,9256.906807422638,9103.616178035736,9629.51809167862,-135.8729600906372,20.31087875366211,137.21764087677002,-152.16588973999023
1,12,0.24,9621.659219264984,9216.00192785263,9209.388196468353,9433.465898036957,-131.82878494262695,-40.904879570007324,105.77201843261719,-196.0521936416626
1,13,0.26,9469.409584999084,9173.444211483002,9256.83319568634,9214.254915714264,-152.24963426589966,-42.557716369628906,47.44499921798706,-219.21098232269287
1,14,0.28,9341.643154621124,9090.082049369812,9250.572621822357,9060.415923595428,-127.7664303779602,-83.3621621131897,-6.260573863983154,-153.83899211883545
1,15,0.3,9179.41004037857,9000.950455665588,9248.026013374329,8950.540125370026,-162.2331142425537,-89.13159370422363,-2.5466084480285645,-109.87579822540283
1,16,0.32,9106.746017932892,8907.499611377716,9188.761413097382,8868.872821331024,-72.66402244567871,-93.45084428787231,-59.26460027694702,-81.66730403900146
1,17,0.34,9031.60274028778,8884.512186050415,9169.282019138336,8769.859969615936,-75.14327764511108,-22.987425327301025,-19.47939395904541,-99.01285171508789
1,18,0.36,8945.876657962799,8905.26682138443,9181.38176202774,8667.58793592453,-85.72608232498169,20.754635334014893,12.099742889404297,-102.27203369140625
1,19,0.38,8837.327063083649,8918.761312961578,9226.837456226349,8584.284782409668,-108.54959487915039,13.494491577148438,45.4556941986084,-83.30315351486206
1,20,0.4,8742.70349740982,8933.01635980606,9241.593182086945,8524.480760097504,-94.62356567382812,14.255046844482422,14.755725860595703,-59.80402231216431
1,21,0.42,8667.508661746979,8924.682438373566,9229.513108730316,8489.62277173996,-75.1948356628418,-8.333921432495117,-12.080073356628418,-34.857988357543945
1,22,0.44,8611.325323581696,8928.506672382355,9218.572080135345,8462.846577167511,-56.1833381652832,3.8242340087890625,-10.941028594970703,-26.77619457244873
1,23,0.46,8561.527729034424,8936.650156974792,9219.54870223999,8439.91607427597,-49.79759454727173,8.143484592437744,0.9766221046447754,-22.930502891540527
1,24,0.48,8521.51870727539,8956.732451915741,9237.546622753143,8418.287932872772,-40.0090217590332,20.082294940948486,17.997920513153076,-21.628141403198242
1,25,0.5,8487.657010555267,8987.590074539185,9257.609248161316,8391.242623329163,-33.86169672012329,30.857622623443604,20.062625408172607,-27.04530954360962
