episode,step,time_s,u1_rpm,u2_rpm,u3_rpm,u4_rpm,du1_rpm,du2_rpm,du3_rpm,du4_rpm
1,0,0.0,5216.269679367542,8717.56911277771,9875.218570232391,7603.576481342316,0.0,0.0,0.0,0.0
1,1,0.01,5395.253114402294,8577.922880649567,10000.0,7966.223061084747,178.9834350347519,-139.6462321281433,124.78142976760864,362.64657974243164
1,2,0.02,6179.374679923058,8476.41110420227,10000.0,8354.917168617249,784.1215655207634,-101.51177644729614,0.0,388.6941075325012
1,3,0.03,7124.923765659332,8424.841463565826,10000.0,8648.717403411865,945.5490857362747,-51.56964063644409,0.0,293.8002347946167
1,4,0.04,7897.9286551475525,8514.786660671234,9710.120260715485,8898.6536860466,773.0048894882202,89.94519710540771,-289.8797392845154,249.9362826347351
1,5,0.05,8588.508069515228,8594.83927488327,8986.368179321289,9120.20593881607,690.5794143676758,80.05261421203613,-723.7520813941956,221.55225276947021
1,6,0.06,9112.367331981659,8745.860159397125,8503.68708372116,9261.004328727722,523.8592624664307,151.02088451385498,-482.6810956001282,140.7983899116516
1,7,0.07,9656.530916690826,8872.81984090805,8164.242506027222,9276.636242866516,544.1635847091675,126.9596815109253,-339.4445776939392,15.631914138793945
1,8,0.08,9805.73683977127,8969.83653306961,8006.168007850647,9288.893938064575,149.20592308044434,97.01669216156006,-158.0744981765747,12.257695198059082
1,9,0.09,9850.993156433105,9050.886929035187,8011.970520019531,9186.283946037292,45.25631666183472,81.05039596557617,5.802512168884277,-102.60999202728271
1,10,0.1,9773.937165737152,9105.937778949738,8091.169893741608,9086.08853816986,-77.05599069595337,55.05084991455078,79.19937372207642,-100.19540786743164
1,11,0.11,9675.539433956146,9120.011031627655,8205.602765083313,8981.648981571198,-98.39773178100586,14.07325267791748,114.43287134170532,-104.43955659866333
1,12,0.12,9529.930055141449,9105.201661586761,8297.031819820404,8928.807079792023,-145.60937881469727,-14.809370040893555,91.42905473709106,-52.841901779174805
1,13,0.13,9375.818967819214,9073.356091976166,8377.208709716797,8900.974690914154,-154.1110873222351,-31.845569610595703,80.17688989639282,-27.832388877868652
1,14,0.14,9235.95517873764,9038.640558719635,8434.130549430847,8894.638121128082,-139.8637890815735,-34.71553325653076,56.92183971405029,-6.336569786071777
1,15,0.15,9121.17063999176,8999.48626756668,8464.34235572815,8883.827030658722,-114.78453874588013,-39.1542911529541,30.211806297302246,-10.811090469360352
1,16,0.16,9026.930630207062,8960.419595241547,8479.979932308197,8864.839971065521,-94.24000978469849,-39.06667232513428,15.637576580047607,-18.987059593200684
1,17,0.17,8944.264352321625,8926.450908184052,8491.658568382263,8843.86032819748,-82.66627788543701,-33.96868705749512,11.678636074066162,-20.979642868041992
1,18,0.18,8864.852786064148,8898.639976978302,8498.205840587616,8822.502791881561,-79.4115662574768,-27.81093120574951,6.547272205352783,-21.35753631591797
1,19,0.19,8788.777887821198,8873.439133167267,8499.121069908142,8801.574409008026,-76.07489824295044,-25.200843811035156,0.915229320526123,-20.928382873535156
1,20,0.2,8714.07300233841,8849.174082279205,8493.312001228333,8778.46211194992,-74.70488548278809,-24.265050888061523,-5.80906867980957,-23.11229705810547
1,21,0.21,8640.874028205872,8826.486766338348,8483.230173587799,8753.885328769684,-73.19897413253784,-22.687315940856934,-10.081827640533447,-24.576783180236816
1,22,0.22,8569.905161857605,8803.029954433441,8469.326794147491,8730.196952819824,-70.9688663482666,-23.456811904907227,-13.903379440307617,-23.68837594985962
1,23,0.23,8504.438996315002,8777.152299880981,8453.10777425766,8710.10810136795,-65.46616554260254,-25.877654552459717,-16.219019889831543,-20.08885145187378
1,24,0.24,8443.731963634491,8748.712539672852,8433.592915534973,8693.38721036911,-60.707032680511475,-28.439760208129883,-19.514858722686768,-16.720890998840332
1,25,0.25,8386.349976062775,8719.501197338104,8413.06746006012,8677.405714988708,-57.38198757171631,-29.211342334747314,-20.525455474853516,-15.981495380401611
1,26,0.26,8332.76093006134,8691.569864749908,8390.486240386963,8661.960661411285,-53.589046001434326,-27.9313325881958,-22.58121967315674,-15.445053577423096
1,27,0.27,8282.033205032349,8665.18646478653,8366.292119026184,8647.480905056,-50.7277250289917,-26.383399963378906,-24.19412136077881,-14.479756355285645
1,28,0.28,8233.596682548523,8640.415072441101,8340.378999710083,8631.361722946167,-48.436522483825684,-24.771392345428467,-25.913119316101074,-16.119182109832764
1,29,0.29,8185.7746839523315,8615.947961807251,8310.585618019104,8613.21359872818,-47.821998596191406,-24.467110633850098,-29.793381690979004,-18.14812421798706
1,30,0.3,8137.093782424927,8592.10193157196,8279.26516532898,8593.598306179047,-48.680901527404785,-23.846030235290527,-31.32045269012451,-19.6152925491333
1,31,0.31,8085.997700691223,8568.259477615356,8245.948255062103,8573.893010616302,-51.09608173370361,-23.842453956604004,-33.31691026687622,-19.70529556274414
1,32,0.32,8032.775819301605,8544.93796825409,8210.862874984741,8555.499017238617,-53.22188138961792,-23.32150936126709,-35.08538007736206,-18.393993377685547
1,33,0.33,7977.0538210868835,8522.911369800568,8174.057602882385,8535.585403442383,-55.72199821472168,-22.02659845352173,-36.80527210235596,-19.91361379623413
1,34,0.34,7921.125888824463,8503.316044807434,8135.8712911605835,8511.2926363945,-55.927932262420654,-19.595324993133545,-38.18631172180176,-24.29276704788208
1,35,0.35000000000000003,7867.172658443451,8487.158417701721,8097.806870937347,8486.398160457611,-53.95323038101196,-16.15762710571289,-38.064420223236084,-24.89447593688965
1,36,0.36,7815.162837505341,8471.972942352295,8059.217929840088,8463.392555713654,-52.00982093811035,-15.18547534942627,-38.58894109725952,-23.00560474395752
1,37,0.37,7765.101492404938,8456.743955612183,8022.3289132118225,8443.627655506134,-50.06134510040283,-15.228986740112305,-36.88901662826538,-19.76490020751953
