episode,step,time_s,u1_rpm,u2_rpm,u3_rpm,u4_rpm,du1_rpm,du2_rpm,du3_rpm,du4_rpm
1,0,0.0,5067.185424268246,9109.009504318237,9948.541224002838,7787.066102027893,0.0,0.0,0.0,0.0
1,1,0.04,8816.909193992615,8264.469802379608,8511.21336221695,9407.562017440796,3749.723769724369,-844.5397019386292,-1437.3278617858887,1620.4959154129028
1,2,0.08,9844.082295894623,8814.158737659454,8044.084012508392,9408.475160598755,1027.173101902008,549.6889352798462,-467.12934970855713,0.9131431579589844
1,3,0.12,9970.762133598328,9122.022688388824,8137.412071228027,9171.760082244873,126.67983770370483,307.8639507293701,93.32805871963501,-236.71507835388184
1,4,0.16,9363.642632961273,9271.220862865448,8731.996715068817,8881.155252456665,-607.1195006370544,149.19817447662354,594.5846438407898,-290.604829788208
1,5,0.2,8475.377261638641,9023.38832616806,9338.066577911377,8768.301904201508,-888.2653713226318,-247.8325366973877,606.0698628425598,-112.85334825515747
1,6,0.24,8788.60592842102,8946.909308433533,9063.654839992523,8838.838338851929,313.22866678237915,-76.47901773452759,-274.41173791885376,70.53643465042114
1,7,0.28,8896.466791629791,8846.800923347473,8827.882409095764,8817.347288131714,107.86086320877075,-100.10838508605957,-235.77243089675903,-21.491050720214844
1,8,0.32,8802.776336669922,8733.925819396973,8731.876015663147,8748.132288455963,-93.69045495986938,-112.87510395050049,-96.00639343261719,-69.21499967575073
1,9,0.36,8639.303147792816,8652.819395065308,8729.000389575958,8661.930859088898,-163.4731888771057,-81.10642433166504,-2.8756260871887207,-86.20142936706543
1,10,0.4,8474.226593971252,8588.523268699646,8726.894855499268,8571.646511554718,-165.07655382156372,-64.29612636566162,-2.105534076690674,-90.28434753417969
1,11,0.44,8326.298296451569,8528.485000133514,8701.936900615692,8485.26805639267,-147.92829751968384,-60.03826856613159,-24.95795488357544,-86.37845516204834
1,12,0.48,8207.392990589142,8467.598557472229,8672.025501728058,8413.477540016174,-118.90530586242676,-60.8864426612854,-29.911398887634277,-71.79051637649536
1,13,0.52,8106.8480014801025,8404.58482503891,8645.719587802887,8353.589177131653,-100.5449891090393,-63.01373243331909,-26.3059139251709,-59.888362884521484
1,14,0.56,8021.073937416077,8339.171707630157,8624.06462430954,8298.035562038422,-85.77406406402588,-65.41311740875244,-21.654963493347168,-55.5536150932312
1,15,0.6,7945.259213447571,8274.790346622467,8604.464530944824,8247.348070144653,-75.81472396850586,-64.38136100769043,-19.600093364715576,-50.68749189376831
1,16,0.64,7877.355515956879,8218.182623386383,8584.907054901123,8200.574219226837,-67.90369749069214,-56.607723236083984,-19.557476043701172,-46.77385091781616
1,17,0.68,7816.486656665802,8169.775009155273,8562.794923782349,8155.354261398315,-60.86885929107666,-48.40761423110962,-22.112131118774414,-45.21995782852173
1,18,0.72,7760.362029075623,8125.38355588913,8535.024523735046,8111.679553985596,-56.12462759017944,-44.3914532661438,-27.770400047302246,-43.67470741271973
1,19,0.76,7708.890438079834,8088.490664958954,8500.71519613266,8068.849742412567,-51.471590995788574,-36.89289093017578,-34.309327602386475,-42.829811573028564
1,20,0.8,7661.610543727875,8056.231737136841,8457.989394664764,8028.611242771149,-47.27989435195923,-32.25892782211304,-42.72580146789551,-40.23849964141846
1,21,0.84,7616.344094276428,8026.15225315094,8408.091366291046,7985.080182552338,-45.26644945144653,-30.07948398590088,-49.89802837371826,-43.531060218811035
1,22,0.88,7573.735415935516,7987.231910228729,8354.309499263763,7947.524785995483,-42.608678340911865,-38.92034292221069,-53.781867027282715,-37.55539655685425
1,23,0.92,7536.354959011078,7940.26255607605,8299.229145050049,7920.198738574982,-37.38045692443848,-46.96935415267944,-55.0803542137146,-27.32604742050171
1,24,0.96,7500.7060170173645,7885.349988937378,8245.922923088074,7902.066111564636,-35.64894199371338,-54.912567138671875,-53.3062219619751,-18.13262701034546
1,25,1.0,7474.931925535202,7831.298112869263,8209.633529186249,7899.326384067535,-25.774091482162476,-54.051876068115234,-36.28939390182495,-2.73972749710083
1,26,1.04,7460.799664258957,7791.790068149567,8193.234503269196,7898.019850254059,-14.132261276245117,-39.508044719696045,-16.399025917053223,-1.3065338134765625
1,27,1.08,7459.837198257446,7767.678499221802,8181.855082511902,7888.864874839783,-0.9624660015106201,-24.111568927764893,-11.379420757293701,-9.154975414276123
1,28,1.12,7461.222261190414,7760.745584964752,8180.541396141052,7874.3574023246765,1.3850629329681396,-6.9329142570495605,-1.3136863708496094,-14.507472515106201
1,29,1.16,7466.7346477508545,7764.900326728821,8191.16473197937,7850.023508071899,5.5123865604400635,4.1547417640686035,10.623335838317871,-24.3338942527771
1,30,1.2,7470.816373825073,7785.958349704742,8224.644660949707,7811.451554298401,4.08172607421875,21.05802297592163,33.479928970336914,-38.571953773498535
1,31,1.24,7478.688806295395,7823.514938354492,8295.387923717499,7751.390039920807,7.872432470321655,37.556588649749756,70.74326276779175,-60.061514377593994
1,32,1.28,7489.052265882492,7863.126695156097,8376.731276512146,7670.368254184723,10.363459587097168,39.611756801605225,81.34335279464722,-81.02178573608398
1,33,1.32,7497.340142726898,7914.33572769165,8438.78149986267,7571.738362312317,8.287876844406128,51.20903253555298,62.0502233505249,-98.629891872406
1,34,1.36,7517.030835151672,7966.819405555725,8469.864428043365,7457.583844661713,19.69069242477417,52.48367786407471,31.08292818069458,-114.15451765060425
1,35,1.4000000000000001,7571.541965007782,7941.6486620903015,8400.237560272217,7320.893257856369,54.51112985610962,-25.170743465423584,-69.62686777114868,-136.69058680534363
1,36,1.44,7695.20491361618,7809.323966503143,8174.389600753784,7175.262868404388,123.66294860839844,-132.3246955871582,-225.84795951843262,-145.6303894519806
1,37,1.48,7976.678311824799,7489.460706710815,7647.200524806976,7184.76802110672,281.47339820861816,-319.8632597923279,-527.1890759468079,9.505152702331543
1,38,1.52,8410.440683364868,7010.125517845154,6937.352418899536,7428.170144557953,433.7623715400696,-479.3351888656616,-709.8481059074402,243.4021234512329
1,39,1.56,8876.00153684616,6462.239921092987,6378.540992736816,7859.983444213867,465.5608534812927,-547.8855967521667,-558.8114261627197,431.8132996559143
1,40,1.6,8030.774295330048,6975.511312484741,8343.347012996674,8812.87395954132,-845.2272415161133,513.2713913917542,1964.8060202598572,952.8905153274536
