episode,step,time_s,u1_rpm,u2_rpm,u3_rpm,u4_rpm,du1_rpm,du2_rpm,du3_rpm,du4_rpm
1,0,0.0,5088.472813367844,8566.371202468872,10000.0,7405.397444963455,0.0,0.0,0.0,0.0
1,1,0.01,5245.1422065496445,8552.625477313995,9996.146559715271,7736.848890781403,156.66939318180084,-13.745725154876709,-3.853440284729004,331.4514458179474
1,2,0.02,5680.270940065384,8569.619953632355,10000.0,8017.131984233856,435.12873351573944,16.994476318359375,3.853440284729004,280.2830934524536
1,3,0.03,6372.360587120056,8486.011922359467,9939.83119726181,8192.76750087738,692.0896470546722,-83.60803127288818,-60.1688027381897,175.63551664352417
1,4,0.04,6910.584568977356,8443.863093852997,9579.58996295929,8316.875100135803,538.2239818572998,-42.14882850646973,-360.24123430252075,124.10759925842285
1,5,0.05,7358.0339550971985,8458.110392093658,9205.968081951141,8467.797636985779,447.44938611984253,14.247298240661621,-373.6218810081482,150.9225368499756
1,6,0.06,7790.293395519257,8460.56342124939,8821.439743041992,8628.290891647339,432.2594404220581,2.453029155731201,-384.52833890914917,160.49325466156006
1,7,0.07,8227.491080760956,8390.786945819855,8523.945212364197,8751.578032970428,437.1976852416992,-69.77647542953491,-297.4945306777954,123.2871413230896
1,8,0.08,8642.999231815338,8381.11013174057,8250.898718833923,8910.709619522095,415.5081510543823,-9.676814079284668,-273.04649353027344,159.13158655166626
1,9,0.09,9032.355546951294,8368.55798959732,8013.21804523468,9032.1746468544,389.3563151359558,-12.552142143249512,-237.68067359924316,121.46502733230591
1,10,0.1,9312.578737735748,8360.602259635925,7867.001593112946,9115.446507930756,280.22319078445435,-7.955729961395264,-146.21645212173462,83.27186107635498
1,11,0.11,9527.025520801544,8386.74396276474,7744.371592998505,9100.963771343231,214.4467830657959,26.141703128814697,-122.63000011444092,-14.482736587524414
1,12,0.12,9711.222350597382,8387.152254581451,7647.3259925842285,9102.965295314789,184.1968297958374,0.4082918167114258,-97.04560041427612,2.001523971557617
1,13,0.13,9828.55349779129,8427.026867866516,7600.144147872925,9087.248146533966,117.33114719390869,39.8746132850647,-47.18184471130371,-15.717148780822754
1,14,0.14,9888.92525434494,8487.842977046967,7580.379247665405,9015.803039073944,60.3717565536499,60.81610918045044,-19.76490020751953,-71.44510746002197
1,15,0.15,9882.829785346985,8559.137284755707,7598.879933357239,8958.334624767303,-6.095468997955322,71.29430770874023,18.500685691833496,-57.468414306640625
1,16,0.16,9864.046275615692,8614.393174648285,7653.587162494659,8884.91541147232,-18.783509731292725,55.255889892578125,54.707229137420654,-73.41921329498291
1,17,0.17,9783.43278169632,8672.061264514923,7729.792296886444,8813.427984714508,-80.61349391937256,57.668089866638184,76.20513439178467,-71.4874267578125
1,18,0.18,9652.417302131653,8731.018602848053,7807.58798122406,8741.801083087921,-131.01547956466675,58.95733833312988,77.79568433761597,-71.62690162658691
1,19,0.19,9507.277309894562,8748.981654644012,7896.285951137543,8671.108484268188,-145.13999223709106,17.963051795959473,88.69796991348267,-70.69259881973267
1,20,0.2,9374.818801879883,8767.902553081512,7986.021041870117,8621.635735034943,-132.45850801467896,18.9208984375,89.73509073257446,-49.47274923324585
1,21,0.21,9222.790896892548,8803.85011434555,8076.058924198151,8572.428822517395,-152.0279049873352,35.947561264038086,90.03788232803345,-49.20691251754761
1,22,0.22,9085.371792316437,8819.648921489716,8164.270222187042,8526.056110858917,-137.41910457611084,15.798807144165039,88.2112979888916,-46.37271165847778
1,23,0.23,8953.17941904068,8818.95899772644,8259.289860725403,8512.893617153168,-132.19237327575684,-0.6899237632751465,95.0196385383606,-13.162493705749512
1,24,0.24,8813.12221288681,8822.466433048248,8350.689113140106,8481.886088848114,-140.05720615386963,3.5074353218078613,91.39925241470337,-31.00752830505371
1,25,0.25,8662.95576095581,8802.695870399475,8448.877334594727,8463.086187839508,-150.16645193099976,-19.770562648773193,98.18822145462036,-18.799901008605957
1,26,0.26,8540.793061256409,8789.311349391937,8537.958264350891,8435.957133769989,-122.16269969940186,-13.384521007537842,89.08092975616455,-27.129054069519043
1,27,0.27,8427.239954471588,8765.2787566185,8610.590696334839,8408.309519290924,-113.55310678482056,-24.0325927734375,72.63243198394775,-27.64761447906494
1,28,0.28,8323.097229003906,8745.964169502258,8659.01231765747,8392.609059810638,-104.14272546768188,-19.314587116241455,48.421621322631836,-15.700459480285645
1,29,0.29,8244.042098522186,8704.145848751068,8706.89868927002,8383.136689662933,-79.05513048171997,-41.818320751190186,47.88637161254883,-9.472370147705078
1,30,0.3,8183.838427066803,8671.015799045563,8733.106851577759,8372.319340705872,-60.2036714553833,-33.13004970550537,26.208162307739258,-10.817348957061768
1,31,0.31,8130.240738391876,8639.62471485138,8758.52257013321,8366.919457912445,-53.59768867492676,-31.39108419418335,25.41571855545044,-5.399882793426514
1,32,0.32,8077.855706214905,8619.294464588165,8789.792358875275,8370.247781276703,-52.385032176971436,-20.33025026321411,31.26978874206543,3.3283233642578125
1,33,0.33,8043.274879455566,8580.942451953888,8799.895644187927,8370.315432548523,-34.58082675933838,-38.352012634277344,10.103285312652588,0.06765127182006836
1,34,0.34,7999.509274959564,8545.573949813843,8804.598152637482,8373.898565769196,-43.7656044960022,-35.368502140045166,4.702508449554443,3.5831332206726074
1,35,0.35000000000000003,7977.217733860016,8506.409525871277,8800.101578235626,8382.828533649445,-22.29154109954834,-39.16442394256592,-4.496574401855469,8.929967880249023
1,36,0.36,7953.561842441559,8465.583324432373,8788.77580165863,8391.538560390472,-23.65589141845703,-40.82620143890381,-11.32577657699585,8.710026741027832
1,37,0.37,7931.414544582367,8431.329429149628,8774.135112762451,8394.025266170502,-22.147297859191895,-34.25389528274536,-14.6406888961792,2.486705780029297
1,38,0.38,7911.716401576996,8397.25911617279,8761.159181594849,8390.49369096756,-19.698143005371094,-34.07031297683716,-12.975931167602539,-3.5315752029418945
1,39,0.39,7891.926169395447,8367.53636598587,8739.987015724182,8387.974202632904,-19.790232181549072,-29.722750186920166,-21.172165870666504,-2.5194883346557617
1,40,0.4,7877.778112888336,8335.931599140167,8719.759583473206,8385.5339884758,-14.148056507110596,-31.604766845703125,-20.227432250976562,-2.440214157104492
1,41,0.41000000000000003,7861.427366733551,8308.340013027191,8701.165318489075,8377.917110919952,-16.350746154785156,-27.591586112976074,-18.59426498413086,-7.616877555847168
