episode,step,time_s,u1_rpm,u2_rpm,u3_rpm,u4_rpm,du1_rpm,du2_rpm,du3_rpm,du4_rpm
1,0,0.0,5926.38298869133,9157.15903043747,7616.540193557739,6942.359060049057,0.0,0.0,0.0,0.0
1,1,0.01,5465.210787951946,8320.267498493195,6973.758488893509,6935.316026210785,-461.1722007393837,-836.8915319442749,-642.7817046642303,-7.043033838272095
1,2,0.02,5578.728727996349,8477.346301078796,6984.856128692627,7314.86439704895,113.51794004440308,157.0788025856018,11.097639799118042,379.5483708381653
1,3,0.03,5626.887381076813,8382.803797721863,6976.554989814758,7535.257041454315,48.15865308046341,-94.5425033569336,-8.301138877868652,220.392644405365
1,4,0.04,5654.155611991882,8334.718346595764,7000.259608030319,7735.782265663147,27.26823091506958,-48.08545112609863,23.704618215560913,200.5252242088318
1,5,0.05,5724.617689847946,8249.718248844147,7019.890695810318,7832.21036195755,70.46207785606384,-85.00009775161743,19.63108777999878,96.42809629440308
1,6,0.06,5833.668112754822,8201.740682125092,7077.647894620895,7915.220260620117,109.05042290687561,-47.977566719055176,57.75719881057739,83.00989866256714
1,7,0.07,5986.539125442505,8162.202537059784,7136.1225843429565,8001.786172389984,152.8710126876831,-39.53814506530762,58.47468972206116,86.56591176986694
1,8,0.08,6172.041594982147,8161.817789077759,7205.294072628021,8129.587471485138,185.50246953964233,-0.3847479820251465,69.1714882850647,127.80129909515381
1,9,0.09,6365.212500095367,8174.388110637665,7280.841618776321,8285.552561283112,193.17090511322021,12.570321559906006,75.54754614830017,155.96508979797363
1,10,0.1,6633.612513542175,8207.384943962097,7329.7227919101715,8420.32939195633,268.40001344680786,32.99683332443237,48.8811731338501,134.77683067321777
1,11,0.11,6970.280259847641,8232.606649398804,7354.699522256851,8513.62556219101,336.6677463054657,25.221705436706543,24.976730346679688,93.29617023468018
1,12,0.12,7262.490093708038,8251.847326755524,7346.285730600357,8584.157228469849,292.20983386039734,19.24067735671997,-8.41379165649414,70.53166627883911
1,13,0.13,7525.902688503265,8257.131576538086,7332.032471895218,8616.448938846588,263.41259479522705,5.284249782562256,-14.25325870513916,32.2917103767395
1,14,0.14,7773.436009883881,8263.932764530182,7352.65240073204,8668.427169322968,247.53332138061523,6.801187992095947,20.61992883682251,51.978230476379395
1,15,0.15,7997.382581233978,8270.86329460144,7269.167006015778,8712.438642978668,223.94657135009766,6.930530071258545,-83.48539471626282,44.011473655700684
1,16,0.16,8196.389079093933,8256.270289421082,7194.698601961136,8744.607865810394,199.00649785995483,-14.593005180358887,-74.46840405464172,32.169222831726074
1,17,0.17,8313.515484333038,8198.490738868713,7113.718539476395,8753.57300043106,117.12640523910522,-57.779550552368164,-80.98006248474121,8.965134620666504
1,18,0.18,8361.4581823349,8142.755329608917,7059.5769584178925,8762.793242931366,47.94269800186157,-55.73540925979614,-54.1415810585022,9.220242500305176
1,19,0.19,8360.139429569244,8077.888786792755,7002.816200256348,8765.678107738495,-1.3187527656555176,-64.86654281616211,-56.7607581615448,2.8848648071289062
1,20,0.2,8352.817595005035,8022.2296714782715,6981.260031461716,8786.461651325226,-7.321834564208984,-55.65911531448364,-21.556168794631958,20.783543586730957
1,21,0.21,8334.684073925018,7981.736660003662,6991.9553399086,8808.206617832184,-18.13352108001709,-40.493011474609375,10.695308446884155,21.744966506958008
1,22,0.22,8319.021761417389,7962.195873260498,7040.172666311264,8825.55365562439,-15.662312507629395,-19.540786743164062,48.217326402664185,17.34703779220581
1,23,0.23,8327.67128944397,7959.268689155579,7122.077792882919,8847.774267196655,8.64952802658081,-2.9271841049194336,81.90512657165527,22.220611572265625
1,24,0.24,8336.342871189117,7975.0436544418335,7224.00575876236,8863.982558250427,8.671581745147705,15.774965286254883,101.92796587944031,16.208291053771973
1,25,0.25,8328.067362308502,8000.526428222656,7354.874461889267,8870.321810245514,-8.275508880615234,25.482773780822754,130.86870312690735,6.33925199508667
1,26,0.26,8280.246555805206,8009.48441028595,7426.75706744194,8878.158628940582,-47.8208065032959,8.957982063293457,71.88260555267334,7.836818695068359
1,27,0.27,8207.526803016663,8031.738698482513,7487.437278032303,8860.885798931122,-72.7197527885437,22.25428819656372,60.68021059036255,-17.27283000946045
1,28,0.28,8137.986660003662,8073.702454566956,7555.767893791199,8830.257952213287,-69.54014301300049,41.96375608444214,68.33061575889587,-30.627846717834473
