episode,step,time_s,u1_rpm,u2_rpm,u3_rpm,u4_rpm,du1_rpm,du2_rpm,du3_rpm,du4_rpm
1,0,0.0,5000.0,9476.273655891418,10000.0,7825.386822223663,0.0,0.0,0.0,0.0
1,1,0.015,5391.504280269146,9264.789819717407,9989.109933376312,7870.659232139587,391.50428026914597,-211.48383617401123,-10.890066623687744,45.27240991592407
1,2,0.03,5946.645811200142,9353.43474149704,10000.0,8130.849599838257,555.1415309309959,88.64492177963257,10.890066623687744,260.19036769866943
1,3,0.045,6733.9737713336945,9172.962009906769,10000.0,8430.644571781158,787.3279601335526,-180.472731590271,0.0,299.7949719429016
1,4,0.06,7616.152763366699,9080.475270748138,10000.0,8730.077147483826,882.1789920330048,-92.48673915863037,0.0,299.43257570266724
1,5,0.075,8491.729497909546,8949.108719825745,9537.418484687805,8970.126211643219,875.5767345428467,-131.3665509223938,-462.5815153121948,240.0490641593933
1,6,0.09,9401.061832904816,8863.010108470917,8969.945013523102,9446.901381015778,909.3323349952698,-86.09861135482788,-567.4734711647034,476.7751693725586
1,7,0.105,10000.0,8773.803114891052,8471.51666879654,9739.759862422943,598.9381670951843,-89.2069935798645,-498.4283447265625,292.8584814071655
1,8,0.12,10000.0,8651.593029499054,7715.856730937958,9921.566545963287,0.0,-122.21008539199829,-755.6599378585815,181.80668354034424
1,9,0.135,10000.0,8592.894077301025,7232.379168272018,9958.579242229462,0.0,-58.698952198028564,-483.47756266593933,37.012696266174316
1,10,0.15,10000.0,8591.91119670868,7035.408020019531,9988.332092761993,0.0,-0.9828805923461914,-196.97114825248718,29.75285053253174
1,11,0.16499999999999998,10000.0,8627.735376358032,6923.613995313644,9940.226376056671,0.0,35.82417964935303,-111.79402470588684,-48.105716705322266
1,12,0.18,10000.0,8742.468655109406,6926.585137844086,9889.127612113953,0.0,114.73327875137329,2.971142530441284,-51.098763942718506
1,13,0.195,10000.0,8885.850012302399,7031.913697719574,9766.430854797363,0.0,143.38135719299316,105.32855987548828,-122.69675731658936
1,14,0.21,10000.0,9026.295840740204,7307.80690908432,9499.713480472565,0.0,140.44582843780518,275.8932113647461,-266.7173743247986
1,15,0.22499999999999998,10000.0,9052.587151527405,7714.2733335494995,9175.156950950623,0.0,26.291310787200928,406.46642446517944,-324.55652952194214
1,16,0.24,9960.423409938812,9139.812886714935,8115.309774875641,8977.5750041008,-39.576590061187744,87.22573518753052,401.03644132614136,-197.581946849823
1,17,0.255,9931.01716041565,9144.372642040253,8374.96042251587,8811.225891113281,-29.406249523162842,4.559755325317383,259.65064764022827,-166.3491129875183
1,18,0.27,9874.399602413177,9209.185540676117,8784.972131252289,8695.647120475769,-56.617558002471924,64.81289863586426,410.0117087364197,-115.5787706375122
1,19,0.285,9734.80075597763,9354.75379228592,9281.434416770935,8641.23910665512,-139.59884643554688,145.56825160980225,496.46228551864624,-54.40801382064819
1,20,0.3,9391.827881336212,9488.66993188858,9720.061421394348,8606.111407279968,-342.97287464141846,133.91613960266113,438.6270046234131,-35.12769937515259
1,21,0.315,8995.35983800888,9613.66593837738,9997.642040252686,8701.845407485962,-396.46804332733154,124.99600648880005,277.5806188583374,95.73400020599365
1,22,0.32999999999999996,8634.679913520813,9679.288864135742,10000.0,8758.32200050354,-360.6799244880676,65.62292575836182,2.357959747314453,56.476593017578125
1,23,0.345,8339.74689245224,9693.739414215088,10000.0,8855.361342430115,-294.933021068573,14.450550079345703,0.0,97.0393419265747
1,24,0.36,8222.4240899086,9656.41438961029,10000.0,8898.980915546417,-117.32280254364014,-37.32502460479736,0.0,43.61957311630249
1,25,0.375,8207.87250995636,9569.447338581085,10000.0,8915.150761604309,-14.55157995223999,-86.96705102920532,0.0,16.169846057891846
1,26,0.39,8222.795724868774,9500.382244586945,10000.0,8929.154872894287,14.92321491241455,-69.06509399414062,0.0,14.004111289978027
1,27,0.40499999999999997,8258.667886257172,9392.054677009583,10000.0,8925.212919712067,35.87216138839722,-108.32756757736206,0.0,-3.941953182220459
1,28,0.42,8336.098194122314,9300.557076931,10000.0,8912.142813205719,77.43030786514282,-91.49760007858276,0.0,-13.070106506347656
1,29,0.435,8408.357501029968,9211.491346359253,10000.0,8907.12857246399,72.25930690765381,-89.06573057174683,0.0,-5.014240741729736
1,30,0.44999999999999996,8442.753851413727,9140.552580356598,9999.67336654663,8907.792866230011,34.396350383758545,-70.93876600265503,-0.3266334533691406,0.6642937660217285
1,31,0.46499999999999997,8554.144203662872,9048.099517822266,9959.233403205872,8901.16423368454,111.39035224914551,-92.45306253433228,-40.43996334075928,-6.628632545471191
1,32,0.48,8639.891743659973,8954.700529575348,9878.56239080429,8900.943100452423,85.74753999710083,-93.39898824691772,-80.67101240158081,-0.22113323211669922
1,33,0.495,8687.265813350677,8876.815438270569,9785.785675048828,8890.612423419952,47.374069690704346,-77.88509130477905,-92.77671575546265,-10.330677032470703
1,34,0.51,8714.83862400055,8815.386593341827,9667.53751039505,8842.57435798645,27.572810649871826,-61.428844928741455,-118.24816465377808,-48.0380654335022
1,35,0.525,8721.261620521545,8770.566582679749,9583.041965961456,8794.609606266022,6.422996520996094,-44.82001066207886,-84.49554443359375,-47.96475172042847
1,36,0.54,8703.677356243134,8721.037805080414,9497.186839580536,8743.07632446289,-17.584264278411865,-49.52877759933472,-85.85512638092041,-51.5332818031311
1,37,0.5549999999999999,8681.96815252304,8678.461015224457,9413.083791732788,8693.383932113647,-21.709203720092773,-42.57678985595703,-84.1030478477478,-49.692392349243164
1,38,0.57,8654.598891735077,8636.360764503479,9341.253638267517,8647.023439407349,-27.369260787963867,-42.10025072097778,-71.830153465271,-46.36049270629883
1,39,0.585,8638.348281383514,8591.338396072388,9278.733432292938,8589.4376039505,-16.2506103515625,-45.02236843109131,-62.52020597457886,-57.585835456848145
1,40,0.6,8604.466021060944,8552.66273021698,9223.68973493576,8530.860245227814,-33.8822603225708,-38.675665855407715,-55.043697357177734,-58.57735872268677
1,41,0.615,8566.228151321411,8528.770208358765,9175.162315368652,8471.780717372894,-38.23786973953247,-23.892521858215332,-48.527419567108154,-59.079527854919434
