episode,step,time_s,u1_rpm,u2_rpm,u3_rpm,u4_rpm,du1_rpm,du2_rpm,du3_rpm,du4_rpm
1,0,0.0,5460.954383015633,8247.542977333069,10000.0,7754.6226978302,0.0,0.0,0.0,0.0
1,1,0.01,5710.574984550476,8424.215614795685,10000.0,8065.452873706818,249.62060153484344,176.67263746261597,0.0,310.83017587661743
1,2,0.02,6501.718610525131,8428.551256656647,9941.258430480957,8088.536858558655,791.1436259746552,4.335641860961914,-58.74156951904297,23.083984851837158
1,3,0.03,6975.3991067409515,8325.689136981964,9663.18964958191,8261.09766960144,473.6804962158203,-102.86211967468262,-278.06878089904785,172.56081104278564
1,4,0.04,7408.2547426223755,8409.177362918854,9287.968277931213,8341.72785282135,432.85563588142395,83.48822593688965,-375.2213716506958,80.63018321990967
1,5,0.05,7801.751792430878,8376.300930976868,8893.226087093353,8479.824960231781,393.4970498085022,-32.876431941986084,-394.7421908378601,138.0971074104309
1,6,0.06,8178.786039352417,8412.871360778809,8616.410195827484,8539.48175907135,377.0342469215393,36.57042980194092,-276.81589126586914,59.65679883956909
1,7,0.07,8487.502038478851,8446.636199951172,8377.137184143066,8572.071194648743,308.7159991264343,33.76483917236328,-239.27301168441772,32.58943557739258
1,8,0.08,8798.289895057678,8514.304459095001,8174.084424972534,8617.929816246033,310.7878565788269,67.66825914382935,-203.05275917053223,45.85862159729004
1,9,0.09,9021.915197372437,8547.298014163971,8066.030144691467,8682.122230529785,223.6253023147583,32.99355506896973,-108.0542802810669,64.19241428375244
1,10,0.1,9199.46402311325,8573.196530342102,7996.5609312057495,8709.080219268799,177.5488257408142,25.898516178131104,-69.46921348571777,26.957988739013672
1,11,0.11,9290.957152843475,8635.095953941345,7972.380220890045,8728.430569171906,91.49312973022461,61.899423599243164,-24.180710315704346,19.35034990310669
1,12,0.12,9391.805529594421,8653.98794412613,7978.078126907349,8730.622231960297,100.84837675094604,18.891990184783936,5.697906017303467,2.1916627883911133
1,13,0.13,9444.926679134369,8678.11232805252,7982.68735408783,8735.55988073349,53.12114953994751,24.1243839263916,4.609227180480957,4.937648773193359
