episode,step,time_s,u1_rpm,u2_rpm,u3_rpm,u4_rpm,du1_rpm,du2_rpm,du3_rpm,du4_rpm
1,0,0.0,5178.794022649527,8771.1501121521,10000.0,7045.0350642204285,0.0,0.0,0.0,0.0
1,1,0.02,5517.904385924339,8882.516622543335,10000.0,8015.271425247192,339.1103632748127,111.36651039123535,0.0,970.2363610267639
1,2,0.04,6328.32869887352,8853.592872619629,9966.099262237549,8406.801521778107,810.4243129491806,-28.923749923706055,-33.90073776245117,391.5300965309143
1,3,0.06,7019.092738628387,8720.913827419281,9414.613544940948,8790.930211544037,690.7640397548676,-132.6790452003479,-551.4857172966003,384.1286897659302
1,4,0.08,8772.872984409332,8102.156221866608,7632.702887058258,9467.8395986557,1753.7802457809448,-618.7576055526733,-1781.9106578826904,676.9093871116638
1,5,0.1,9836.563766002655,7875.251471996307,6386.511921882629,9679.933488368988,1063.6907815933228,-226.9047498703003,-1246.1909651756287,212.09388971328735
1,6,0.12,10000.0,8107.291460037231,6350.575089454651,9504.67973947525,163.43623399734497,232.03998804092407,-35.936832427978516,-175.2537488937378
1,7,0.14,10000.0,8625.63818693161,6417.906284332275,9271.985590457916,0.0,518.3467268943787,67.33119487762451,-232.69414901733398
1,8,0.16,10000.0,8762.31074333191,6748.0286955833435,9004.559218883514,0.0,136.67255640029907,330.1224112510681,-267.42637157440186
1,9,0.18,9974.219501018524,8788.906931877136,7146.737575531006,8707.502782344818,-25.78049898147583,26.59618854522705,398.70887994766235,-297.0564365386963
1,10,0.2,9854.307472705841,8896.576762199402,7750.706970691681,8545.394241809845,-119.9120283126831,107.66983032226562,603.969395160675,-162.10854053497314
1,11,0.22,9367.848932743073,9104.129374027252,8370.036482810974,8441.164791584015,-486.45853996276855,207.55261182785034,619.3295121192932,-104.22945022583008
1,12,0.24,8668.29514503479,9101.123213768005,8885.468542575836,8484.183549880981,-699.5537877082825,-3.006160259246826,515.4320597648621,43.01875829696655
1,13,0.26,8359.038531780243,9032.332599163055,9229.923486709595,8431.543707847595,-309.2566132545471,-68.79061460494995,344.45494413375854,-52.63984203338623
1,14,0.28,8135.856091976166,9006.143510341644,9392.604231834412,8399.686515331268,-223.18243980407715,-26.189088821411133,162.6807451248169,-31.857192516326904
1,15,0.3,8025.336265563965,8954.58608865738,9524.718225002289,8371.637165546417,-110.51982641220093,-51.55742168426514,132.1139931678772,-28.049349784851074
1,16,0.32,7906.146943569183,8854.316174983978,9597.529172897339,8326.919674873352,-119.1893219947815,-100.26991367340088,72.81094789505005,-44.717490673065186
1,17,0.34,7894.6492075920105,8718.672096729279,9571.636617183685,8367.035686969757,-11.497735977172852,-135.6440782546997,-25.892555713653564,40.11601209640503
1,18,0.36,7927.7655482292175,8594.138622283936,9446.472525596619,8408.31607580185,33.11634063720703,-124.53347444534302,-125.16409158706665,41.280388832092285
1,19,0.38,7968.107163906097,8483.359813690186,9247.702062129974,8444.02015209198,40.34161567687988,-110.77880859375,-198.7704634666443,35.704076290130615
1,20,0.4,8016.911745071411,8383.98426771164,9032.230973243713,8452.812731266022,48.80458116531372,-99.37554597854614,-215.471088886261,8.792579174041748
1,21,0.42,8038.212060928345,8270.426988601685,8877.902030944824,8449.336588382721,21.300315856933594,-113.55727910995483,-154.32894229888916,-3.4761428833007812
1,22,0.44,8044.900000095367,8202.502727508545,8753.291964530945,8396.415412425995,6.687939167022705,-67.92426109313965,-124.6100664138794,-52.921175956726074
1,23,0.46,8024.507164955139,8143.553733825684,8675.47333240509,8329.54317331314,-20.39283514022827,-58.94899368286133,-77.81863212585449,-66.872239112854
1,24,0.48,7988.356947898865,8094.5974588394165,8618.56073141098,8262.161910533905,-36.150217056274414,-48.95627498626709,-56.91260099411011,-67.38126277923584
1,25,0.5,7957.608103752136,8035.90714931488,8556.27566576004,8213.753700256348,-30.748844146728516,-58.69030952453613,-62.28506565093994,-48.40821027755737
1,26,0.52,7913.464605808258,7984.034419059753,8511.329293251038,8158.620893955231,-44.143497943878174,-51.87273025512695,-44.946372509002686,-55.13280630111694
1,27,0.54,7870.3972697258,7937.098443508148,8467.385172843933,8107.176721096039,-43.067336082458496,-46.935975551605225,-43.94412040710449,-51.444172859191895
1,28,0.56,7818.948030471802,7893.45920085907,8423.012793064117,8051.007688045502,-51.4492392539978,-43.63924264907837,-44.372379779815674,-56.16903305053711
1,29,0.58,7759.907841682434,7847.79965877533,8380.017280578613,7996.390759944916,-59.040188789367676,-45.659542083740234,-42.99551248550415,-54.61692810058594
1,30,0.6,7702.425122261047,7805.487811565399,8342.439532279968,7940.727174282074,-57.48271942138672,-42.31184720993042,-37.57774829864502,-55.6635856628418
1,31,0.62,7638.141810894012,7755.175828933716,8314.75019454956,7882.351577281952,-64.28331136703491,-50.31198263168335,-27.689337730407715,-58.37559700012207
1,32,0.64,7575.545012950897,7718.587815761566,8283.631205558777,7823.2356905937195,-62.596797943115234,-36.58801317214966,-31.11898899078369,-59.11588668823242
1,33,0.66,7510.228157043457,7680.632174015045,8251.348733901978,7770.795226097107,-65.31685590744019,-37.955641746520996,-32.282471656799316,-52.44046449661255
1,34,0.68,7439.539730548859,7644.210755825043,8213.367760181427,7715.162038803101,-70.68842649459839,-36.42141819000244,-37.98097372055054,-55.63318729400635
1,35,0.7000000000000001,7375.559508800507,7612.538039684296,8175.938129425049,7667.495608329773,-63.98022174835205,-31.67271614074707,-37.429630756378174,-47.66643047332764
1,36,0.72,7319.376021623611,7578.599452972412,8138.391971588135,7621.965706348419,-56.18348717689514,-33.938586711883545,-37.54615783691406,-45.52990198135376
1,37,0.74,7279.701828956604,7561.607658863068,8098.527789115906,7581.4202427864075,-39.674192667007446,-16.991794109344482,-39.864182472229004,-40.54546356201172
1,38,0.76,7230.5357456207275,7525.693476200104,8054.296374320984,7537.117004394531,-49.166083335876465,-35.91418266296387,-44.231414794921875,-44.30323839187622
1,39,0.78,7184.572666883469,7502.427697181702,8010.3906989097595,7495.537847280502,-45.96307873725891,-23.2657790184021,-43.905675411224365,-41.57915711402893
1,40,0.8,7141.115665435791,7471.067160367966,7967.0074582099915,7456.601113080978,-43.45700144767761,-31.360536813735962,-43.383240699768066,-38.936734199523926
1,41,0.8200000000000001,7107.887119054794,7448.777556419373,7927.3951053619385,7426.520437002182,-33.228546380996704,-22.28960394859314,-39.61235284805298,-30.080676078796387
1,42,0.84,7079.755067825317,7426.445335149765,7882.371544837952,7400.462478399277,-28.13205122947693,-22.332221269607544,-45.023560523986816,-26.057958602905273
1,43,0.86,7049.743831157684,7398.10511469841,7835.147678852081,7376.354783773422,-30.011236667633057,-28.34022045135498,-47.22386598587036,-24.107694625854492
1,44,0.88,7021.147012710571,7364.95167016983,7786.033451557159,7352.613657712936,-28.596818447113037,-33.15344452857971,-49.114227294921875,-23.74112606048584
1,45,0.9,6994.327753782272,7330.559641122818,7734.711766242981,7332.227379083633,-26.81925892829895,-34.39202904701233,-51.32168531417847,-20.38627862930298
1,46,0.92,6961.957812309265,7291.332930326462,7681.5807819366455,7313.89507651329,-32.3699414730072,-39.2267107963562,-53.13098430633545,-18.332302570343018
1,47,0.9400000000000001,6933.441907167435,7254.607230424881,7633.24111700058,7298.276573419571,-28.515905141830444,-36.72569990158081,-48.339664936065674,-15.618503093719482
1,48,0.96,6901.160329580307,7218.655049800873,7587.778866291046,7275.842875242233,-32.281577587127686,-35.95218062400818,-45.46225070953369,-22.433698177337646
1,49,0.98,6870.516240596771,7182.076424360275,7545.280158519745,7257.329076528549,-30.644088983535767,-36.578625440597534,-42.49870777130127,-18.513798713684082
1,50,1.0,6842.889040708542,7147.057801485062,7502.854764461517,7253.387123346329,-27.62719988822937,-35.01862287521362,-42.42539405822754,-3.941953182220459
1,51,1.02,6822.138726711273,7117.135226726532,7464.138567447662,7255.799621343613,-20.750313997268677,-29.922574758529663,-38.71619701385498,2.4124979972839355
1,52,1.04,6821.176707744598,7098.805159330368,7429.857850074768,7265.0642693042755,-0.9620189666748047,-18.33006739616394,-34.28071737289429,9.264647960662842
1,53,1.06,6816.240847110748,7078.000158071518,7401.492595672607,7278.064638376236,-4.935860633850098,-20.805001258850098,-28.365254402160645,13.00036907196045
