episode,step,time_s,u1_rpm,u2_rpm,u3_rpm,u4_rpm,du1_rpm,du2_rpm,du3_rpm,du4_rpm
1,0,0.0,5870.962589979172,7846.201658248901,9229.790568351746,7428.6288022994995,0.0,0.0,0.0,0.0
1,1,0.04,6422.81174659729,8032.447099685669,8598.29992055893,7474.565804004669,551.8491566181183,186.24544143676758,-631.4906477928162,45.93700170516968
1,2,0.08,8078.269958496094,7875.816226005554,7131.884545087814,8015.252351760864,1655.4582118988037,-156.63087368011475,-1466.415375471115,540.6865477561951
1,3,0.12,8886.082172393799,7556.097507476807,6628.407835960388,8303.645849227905,807.8122138977051,-319.71871852874756,-503.47670912742615,288.393497467041
1,4,0.16,8907.099962234497,7686.319947242737,6805.777996778488,8307.734727859497,21.017789840698242,130.22243976593018,177.37016081809998,4.088878631591797
1,5,0.2,8659.954965114594,7861.891984939575,7187.317758798599,8274.305760860443,-247.14499711990356,175.57203769683838,381.5397620201111,-33.428966999053955
1,6,0.24,8096.20201587677,8027.6089906692505,7735.4758977890015,8170.406222343445,-563.7529492378235,165.7170057296753,548.1581389904022,-103.89953851699829
1,7,0.28,7755.6997537612915,8202.496767044067,8057.94894695282,8089.691996574402,-340.5022621154785,174.8877763748169,322.47304916381836,-80.71422576904297
1,8,0.32,7465.588599443436,8335.564136505127,8324.552476406097,8028.104901313782,-290.11115431785583,133.06736946105957,266.6035294532776,-61.58709526062012
1,9,0.36,7233.657985925674,8451.419472694397,8560.48583984375,7995.648980140686,-231.93061351776123,115.85533618927002,235.9333634376526,-32.4559211730957
1,10,0.4,6961.7025554180145,8494.539260864258,8842.470049858093,7855.529487133026,-271.9554305076599,43.11978816986084,281.98421001434326,-140.1194930076599
1,11,0.44,7038.224935531616,8368.159532546997,8739.290237426758,7882.062792778015,76.52238011360168,-126.37972831726074,-103.17981243133545,26.533305644989014
1,12,0.48,7470.964640378952,8118.60203742981,8315.223753452301,8077.574074268341,432.7397048473358,-249.5574951171875,-424.0664839744568,195.51128149032593
1,13,0.52,7672.211825847626,7955.7424783706665,8108.049035072327,8158.377408981323,201.2471854686737,-162.85955905914307,-207.17471837997437,80.80333471298218
1,14,0.56,7906.895577907562,7740.59534072876,7844.720482826233,8238.32392692566,234.68375205993652,-215.14713764190674,-263.32855224609375,79.94651794433594
1,15,0.6,7904.667556285858,7633.413076400757,7794.039845466614,8197.78174161911,-2.2280216217041016,-107.18226432800293,-50.68063735961914,-40.54218530654907
1,16,0.64,7781.0221910476685,7684.541940689087,7896.810173988342,8030.198812484741,-123.6453652381897,51.12886428833008,102.77032852172852,-167.5829291343689
1,17,0.68,7689.516544342041,7744.247317314148,7954.010963439941,7864.096760749817,-91.50564670562744,59.705376625061035,57.20078945159912,-166.10205173492432
1,18,0.72,7578.083574771881,7804.243564605713,8023.995757102966,7732.14727640152,-111.43296957015991,59.99624729156494,69.9847936630249,-131.94948434829712
1,19,0.76,7450.100928544998,7892.007231712341,8138.337135314941,7646.453082561493,-127.98264622688293,87.76366710662842,114.3413782119751,-85.69419384002686
1,20,0.8,7355.38586974144,7946.140170097351,8230.037093162537,7612.8944754600525,-94.71505880355835,54.132938385009766,91.69995784759521,-33.55860710144043
1,21,0.84,7300.227135419846,7948.362827301025,8277.843594551086,7632.942795753479,-55.15873432159424,2.2226572036743164,47.806501388549805,20.048320293426514
1,22,0.88,7283.411771059036,7904.515862464905,8277.2696018219,7685.651779174805,-16.815364360809326,-43.846964836120605,-0.5739927291870117,52.708983421325684
1,23,0.92,7305.7277500629425,7826.84862613678,8219.143748283386,7737.081348896027,22.31597900390625,-77.667236328125,-58.125853538513184,51.429569721221924
1,24,0.96,7330.722808837891,7742.976546287537,8167.327344417572,7774.060070514679,24.99505877494812,-83.87207984924316,-51.81640386581421,36.978721618652344
1,25,1.0,7348.765879869461,7664.090394973755,8126.494884490967,7793.470025062561,18.043071031570435,-78.88615131378174,-40.832459926605225,19.40995454788208
1,26,1.04,7363.9050126075745,7601.213455200195,8087.77928352356,7792.382836341858,15.139132738113403,-62.87693977355957,-38.71560096740723,-1.087188720703125
1,27,1.08,7372.14207649231,7559.659481048584,8053.190112113953,7776.626944541931,8.237063884735107,-41.55397415161133,-34.589171409606934,-15.755891799926758
1,28,1.12,7370.474487543106,7539.430856704712,8026.5748500823975,7747.1596002578735,-1.6675889492034912,-20.22862434387207,-26.615262031555176,-29.467344284057617
1,29,1.16,7359.971702098846,7535.983920097351,8007.380962371826,7708.191871643066,-10.502785444259644,-3.44693660736084,-19.19388771057129,-38.96772861480713
1,30,1.2,7338.056415319443,7553.039193153381,8008.717894554138,7669.016718864441,-21.915286779403687,17.055273056030273,1.3369321823120117,-39.17515277862549
1,31,1.24,7313.71596455574,7577.332854270935,8018.955588340759,7633.5132122039795,-24.340450763702393,24.29366111755371,10.237693786621094,-35.503506660461426
1,32,1.28,7299.247533082962,7598.220109939575,8028.843700885773,7606.476545333862,-14.46843147277832,20.887255668640137,9.888112545013428,-27.036666870117188
1,33,1.32,7295.58989405632,7611.91189289093,8035.29679775238,7587.261199951172,-3.6576390266418457,13.69178295135498,6.453096866607666,-19.21534538269043
1,34,1.36,7303.810268640518,7615.705132484436,8032.9278111457825,7574.496865272522,8.220374584197998,3.7932395935058594,-2.3689866065979004,-12.764334678649902
1,35,1.4000000000000001,7324.09656047821,7608.696222305298,8017.1144008636475,7565.476596355438,20.28629183769226,-7.008910179138184,-15.81341028213501,-9.02026891708374
1,36,1.44,7363.929003477097,7588.4562730789185,7979.8319935798645,7559.529542922974,39.83244299888611,-20.239949226379395,-37.28240728378296,-5.9470534324646
1,37,1.48,7419.676333665848,7559.351325035095,7921.292185783386,7553.154230117798,55.74733018875122,-29.104948043823242,-58.53980779647827,-6.375312805175781
1,38,1.52,7485.306411981583,7527.24677324295,7845.156192779541,7543.150186538696,65.63007831573486,-32.104551792144775,-76.13599300384521,-10.004043579101562
1,39,1.56,7553.470730781555,7498.088330030441,7756.731808185577,7528.198957443237,68.16431879997253,-29.158443212509155,-88.42438459396362,-14.951229095458984
1,40,1.6,7615.958452224731,7477.060407400131,7662.930488586426,7508.431971073151,62.48772144317627,-21.02792263031006,-93.80131959915161,-19.76698637008667
1,41,1.6400000000000001,7665.225565433502,7467.4926698207855,7571.398019790649,7484.999299049377,49.26711320877075,-9.567737579345703,-91.53246879577637,-23.432672023773193
1,42,1.68,7694.516181945801,7467.2931432724,7488.497495651245,7461.994290351868,29.290616512298584,-0.19952654838562012,-82.9005241394043,-23.005008697509766
1,43,1.72,7703.22859287262,7485.022693872452,7426.155805587769,7434.30495262146,8.712410926818848,17.72955060005188,-62.34169006347656,-27.689337730407715
1,44,1.76,7680.283784866333,7510.406374931335,7408.495247364044,7401.571869850159,-22.94480800628662,25.383681058883667,-17.660558223724365,-32.73308277130127
1,45,1.8,7638.8949155807495,7534.414529800415,7412.324845790863,7373.075485229492,-41.388869285583496,24.00815486907959,3.8295984268188477,-28.496384620666504
1,46,1.84,7587.688267230988,7550.883889198303,7423.935383558273,7354.836463928223,-51.20664834976196,16.469359397888184,11.610537767410278,-18.23902130126953
1,47,1.8800000000000001,7535.719573497772,7555.147409439087,7434.396594762802,7347.311973571777,-51.96869373321533,4.263520240783691,10.461211204528809,-7.5244903564453125
1,48,1.92,7488.461583852768,7545.991539955139,7438.696622848511,7348.858714103699,-47.25798964500427,-9.155869483947754,4.300028085708618,1.5467405319213867
1,49,1.96,7450.314313173294,7524.303197860718,7435.779571533203,7359.755337238312,-38.14727067947388,-21.688342094421387,-2.917051315307617,10.896623134613037
1,50,2.0,7423.3706295490265,7495.6101179122925,7427.355647087097,7376.175820827484,-26.943683624267578,-28.693079948425293,-8.423924446105957,16.420483589172363
1,51,2.04,7406.395226716995,7463.867515325546,7413.491010665894,7389.512062072754,-16.97540283203125,-31.742602586746216,-13.864636421203613,13.336241245269775
1,52,2.08,7397.886663675308,7430.50143122673,7397.351861000061,7402.563095092773,-8.508563041687012,-33.36608409881592,-16.13914966583252,13.051033020019531
1,53,2.12,7395.099252462387,7398.9298939704895,7381.136119365692,7414.3582582473755,-2.7874112129211426,-31.571537256240845,-16.215741634368896,11.79516315460205
1,54,2.16,7396.07647061348,7372.530847787857,7366.57440662384,7422.946393489838,0.9772181510925293,-26.399046182632446,-14.561712741851807,8.588135242462158
1,55,2.2,7397.924214601517,7350.342124700546,7355.798780918121,7431.224584579468,1.8477439880371094,-22.18872308731079,-10.775625705718994,8.278191089630127
1,56,2.24,7399.287074804306,7341.994792222977,7348.679304122925,7428.28905582428,1.3628602027893066,-8.34733247756958,-7.119476795196533,-2.9355287551879883
1,57,2.2800000000000002,7400.1820385456085,7339.560836553574,7344.37495470047,7420.608997344971,0.8949637413024902,-2.433955669403076,-4.304349422454834,-7.680058479309082
1,58,2.32,7400.51731467247,7338.307350873947,7342.571020126343,7413.5422706604,0.33527612686157227,-1.2534856796264648,-1.8039345741271973,-7.0667266845703125
1,59,2.36,7400.343269109726,7335.569262504578,7342.946082353592,7409.359812736511,-0.17404556274414062,-2.738088369369507,0.3750622272491455,-4.18245792388916
1,60,2.4,7399.6855318546295,7330.033928155899,7345.340251922607,7409.132719039917,-0.6577372550964355,-5.535334348678589,2.394169569015503,-0.22709369659423828
1,61,2.44,7398.502975702286,7321.681976318359,7349.700182676315,7412.858009338379,-1.18255615234375,-8.351951837539673,4.359930753707886,3.725290298461914
1,62,2.48,7396.711558103561,7311.479300260544,7355.969697237015,7419.74949836731,-1.7914175987243652,-10.202676057815552,6.269514560699463,6.891489028930664
1,63,2.52,7394.233345985413,7300.946861505508,7363.991141319275,7428.585588932037,-2.4782121181488037,-10.5324387550354,8.021444082260132,8.836090564727783
1,64,2.56,7391.0534381866455,7291.740924119949,7373.436838388443,7438.028156757355,-3.17990779876709,-9.205937385559082,9.44569706916809,9.442567825317383
1,65,2.6,7387.258857488632,7285.3244841098785,7383.798360824585,7446.858584880829,-3.7945806980133057,-6.416440010070801,10.361522436141968,8.830428123474121
1,66,2.64,7383.043169975281,7282.7644646167755,7394.435703754425,7454.121112823486,-4.21568751335144,-2.5600194931030273,10.637342929840088,7.262527942657471
1,67,2.68,7378.691285848618,7284.655421972275,7404.654920101166,7459.179759025574,-4.351884126663208,1.8909573554992676,10.219216346740723,5.058646202087402
1,68,2.72,7375.1001060009,7292.106002569199,7413.526028394699,7461.4351987838745,-3.591179847717285,7.450580596923828,8.871108293533325,2.2554397583007812
1,69,2.7600000000000002,7372.198551893234,7304.090112447739,7420.833110809326,7461.273372173309,-2.9015541076660156,11.984109878540039,7.307082414627075,-0.16182661056518555
1,70,2.8000000000000003,7370.04354596138,7319.695204496384,7426.434755325317,7459.07187461853,-2.155005931854248,15.60509204864502,5.601644515991211,-2.2014975547790527
1,71,2.84,7368.753105401993,7338.169068098068,7430.314868688583,7455.195784568787,-1.290440559387207,18.47386360168457,3.880113363265991,-3.8760900497436523
1,72,2.88,7368.3856427669525,7358.797341585159,7432.641685009003,7450.052201747894,-0.3674626350402832,20.628273487091064,2.3268163204193115,-5.143582820892334
1,73,2.92,7368.938773870468,7380.935251712799,7433.7238073349,7444.078624248505,0.553131103515625,22.13791012763977,1.0821223258972168,-5.973577499389648
1,74,2.96,7370.358556509018,7404.012233018875,7433.966100215912,7437.7405643463135,1.4197826385498047,23.07698130607605,0.2422928810119629,-6.338059902191162
1,75,3.0,7372.555136680603,7427.521795034409,7433.810979127884,7431.523501873016,2.196580171585083,23.509562015533447,-0.1551210880279541,-6.217062473297119
1,76,3.04,7375.420480966568,7451.00274682045,7433.688640594482,7425.926923751831,2.865344285964966,23.48095178604126,-0.12233853340148926,-5.596578121185303
1,77,3.08,7378.849685192108,7474.027723073959,7433.98129940033,7421.435713768005,3.429204225540161,23.02497625350952,0.29265880584716797,-4.491209983825684
1,78,3.12,7382.998317480087,7496.097534894943,7435.173690319061,7418.320178985596,4.148632287979126,22.069811820983887,1.1923909187316895,-3.115534782409668
1,79,3.16,7387.615591287613,7516.900897026062,7437.363266944885,7417.090535163879,4.617273807525635,20.803362131118774,2.1895766258239746,-1.2296438217163086
1,80,3.2,7392.595112323761,7536.11147403717,7440.639436244965,7418.065071105957,4.979521036148071,19.2105770111084,3.2761693000793457,0.9745359420776367
1,81,3.24,7397.83838391304,7553.461194038391,7444.999516010284,7421.439290046692,5.243271589279175,17.349720001220703,4.360079765319824,3.3742189407348633
1,82,3.2800000000000002,7403.253465890884,7568.754553794861,7450.3569304943085,7427.26594209671,5.415081977844238,15.293359756469727,5.357414484024048,5.8266520500183105
1,83,3.3200000000000003,7408.758848905563,7581.878900527954,7456.562519073486,7435.450553894043,5.505383014678955,13.124346733093262,6.2055885791778564,8.184611797332764
1,84,3.36,7414.166182279587,7593.912780284882,7463.492453098297,7444.778084754944,5.4073333740234375,12.03387975692749,6.929934024810791,9.327530860900879
1,85,3.4,7419.600039720535,7603.491544723511,7470.760643482208,7456.1503529548645,5.433857440948486,9.57876443862915,7.268190383911133,11.372268199920654
1,86,3.44,7425.073832273483,7610.406875610352,7478.125989437103,7469.386458396912,5.473792552947998,6.91533088684082,7.3653459548950195,13.23610544204712
1,87,3.48,7430.556565523148,7614.855766296387,7485.4061007499695,7483.94250869751,5.482733249664307,4.448890686035156,7.280111312866211,14.556050300598145
1,88,3.52,7436.002045869827,7617.213129997253,7492.449879646301,7499.136030673981,5.4454803466796875,2.357363700866699,7.043778896331787,15.193521976470947
1,89,3.56,7441.374212503433,7617.923617362976,7499.11904335022,7514.2621994018555,5.372166633605957,0.7104873657226562,6.669163703918457,15.126168727874756
1,90,3.6,7446.784526109695,7617.609202861786,7505.218386650085,7528.634071350098,5.410313606262207,-0.31441450119018555,6.099343299865723,14.371871948242188
1,91,3.64,7452.232390642166,7616.51337146759,7510.646283626556,7541.82368516922,5.447864532470703,-1.0958313941955566,5.427896976470947,13.189613819122314
1,92,3.68,7457.72197842598,7614.707350730896,7515.324652194977,7553.580701351166,5.489587783813477,-1.806020736694336,4.67836856842041,11.7570161819458
1,93,3.72,7463.294416666031,7612.184286117554,7519.181966781616,7563.780248165131,5.5724382400512695,-2.523064613342285,3.8573145866394043,10.199546813964844
1,94,3.7600000000000002,7468.984574079514,7608.846426010132,7522.183358669281,7572.413384914398,5.690157413482666,-3.337860107421875,3.001391887664795,8.633136749267578
1,95,3.8000000000000003,7474.805563688278,7604.550719261169,7524.339854717255,7579.543888568878,5.820989608764648,-4.295706748962402,2.156496047973633,7.1305036544799805
1,96,3.84,7480.810433626175,7599.3722677230835,7525.797784328461,7584.980726242065,6.0048699378967285,-5.1784515380859375,1.4579296112060547,5.436837673187256
1,97,3.88,7487.062364816666,7593.499422073364,7526.778280735016,7588.419318199158,6.251931190490723,-5.872845649719238,0.9804964065551758,3.438591957092285
1,98,3.92,7493.372708559036,7586.408853530884,7527.217864990234,7590.579986572266,6.3103437423706055,-7.090568542480469,0.43958425521850586,2.16066837310791
1,99,3.96,7499.635964632034,7577.98969745636,7527.238428592682,7591.6871428489685,6.263256072998047,-8.419156074523926,0.020563602447509766,1.1071562767028809
1,100,4.0,7505.732178688049,7568.26639175415,7526.983618736267,7591.889500617981,6.096214056015015,-9.723305702209473,-0.2548098564147949,0.20235776901245117
1,101,4.04,7511.736452579498,7557.698488235474,7526.88854932785,7591.465711593628,6.004273891448975,-10.567903518676758,-0.09506940841674805,-0.42378902435302734
1,102,4.08,7517.387270927429,7546.249330043793,7526.838183403015,7590.340971946716,5.650818347930908,-11.449158191680908,-0.05036592483520508,-1.124739646911621
1,103,4.12,7522.477507591248,7534.012794494629,7526.7493724823,7588.416635990143,5.090236663818359,-12.236535549163818,-0.08881092071533203,-1.9243359565734863
1,104,4.16,7526.891827583313,7521.234452724457,7526.613473892212,7585.631608963013,4.41431999206543,-12.77834177017212,-0.13589859008789062,-2.785027027130127
1,105,4.2,7530.554831027985,7508.186399936676,7526.400685310364,7581.934928894043,3.663003444671631,-13.048052787780762,-0.21278858184814453,-3.6966800689697266
1,106,4.24,7533.723711967468,7495.588958263397,7526.479065418243,7577.5933265686035,3.1688809394836426,-12.597441673278809,0.07838010787963867,-4.341602325439453
1,107,4.28,7536.424398422241,7483.660131692886,7526.77321434021,7572.689056396484,2.700686454772949,-11.928826570510864,0.29414892196655273,-4.904270172119141
1,108,4.32,7538.671791553497,7472.508102655411,7527.131736278534,7567.281126976013,2.2473931312561035,-11.152029037475586,0.3585219383239746,-5.407929420471191
1,109,4.36,7540.535032749176,7462.280243635178,7527.469098567963,7561.468482017517,1.863241195678711,-10.227859020233154,0.33736228942871094,-5.812644958496094
1,110,4.4,7542.078495025635,7453.096807003021,7527.703940868378,7555.334568023682,1.5434622764587402,-9.183436632156372,0.23484230041503906,-6.133913993835449
1,111,4.44,7543.352246284485,7445.057332515717,7527.7698040008545,7548.946738243103,1.2737512588500977,-8.039474487304688,0.06586313247680664,-6.387829780578613
1,112,4.48,7544.389367103577,7438.242584466934,7527.615129947662,7542.350292205811,1.0371208190917969,-6.814748048782349,-0.15467405319213867,-6.5964460372924805
1,113,4.5200000000000005,7545.201778411865,7432.712018489838,7527.20832824707,7535.577714443207,0.8124113082885742,-5.530565977096558,-0.406801700592041,-6.77257776260376
1,114,4.5600000000000005,7545.783519744873,7428.50199341774,7526.533603668213,7528.649866580963,0.5817413330078125,-4.210025072097778,-0.6747245788574219,-6.927847862243652
1,115,4.6000000000000005,7546.113729476929,7425.622642040253,7525.590360164642,7521.583735942841,0.33020973205566406,-2.8793513774871826,-0.9432435035705566,-7.066130638122559
1,116,4.64,7546.163201332092,7424.051910638809,7524.39022064209,7514.403760433197,0.04947185516357422,-1.5707314014434814,-1.2001395225524902,-7.179975509643555
1,117,4.68,7545.897662639618,7423.73913526535,7522.955238819122,7507.141530513763,-0.26553869247436523,-0.3127753734588623,-1.4349818229675293,-7.262229919433594
1,118,4.72,7545.284032821655,7424.604445695877,7521.315515041351,7499.845325946808,-0.6136298179626465,0.8653104305267334,-1.639723777770996,-7.296204566955566
1,119,4.76,7544.293403625488,7426.543086767197,7519.509196281433,7492.576837539673,-0.9906291961669922,1.93864107131958,-1.806318759918213,-7.26848840713501
1,120,4.8,7543.022036552429,7429.382503032684,7517.666518688202,7485.330700874329,-1.271367073059082,2.839416265487671,-1.8426775932312012,-7.246136665344238
1,121,4.84,7541.452050209045,7432.984262704849,7515.839040279388,7478.207945823669,-1.569986343383789,3.601759672164917,-1.8274784088134766,-7.12275505065918
